SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Al-Ghazi Tractors Limited. ,275.96,275,281,273.5,279.68,3.72,"12,200"
,,,,,,,
Atlas Honda Limited. ,298.01,300,305,295,305,6.99,"7,500"
,,,,,,,
Dewan Farooque Motors Limited [ DEFAULTER SEGMENT ],5.78,5.65,5.79,5.51,5.61,-0.17,"45,500"
,,,,,,,
Ghandhara Nissan Ltd. ,48.58,48.6,49.39,48,48.28,-0.3,"58,500"
,,,,,,,
Ghani Automobile Industries Ltd. ,3.75,3.75,3.84,3.71,3.74,-0.01,"16,500"
,,,,,,,
Hino Pak Motor Limeted. ,290,290,290,281.5,281.75,-8.25,600
,,,,,,,
Honda Atlas Cars (Pak) Ltd. ,136.1,136.25,138,134.5,135.71,-0.39,"62,400"
,,,,,,,
Indus Motor Company Ltd.(XD) ,980.24,971,971,940.01,940.08,-40.16,"3,880"
,,,,,,,
Millat Tractors Limited.(XDXB) ,625.63,630.94,630.99,622,623.5,-2.13,"7,300"
,,,,,,,
Pak Suzuki Motors Co Ltd. ,161.01,160.01,164.98,156.5,160.18,-0.83,"18,200"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Agriautos Industries Co. Ltd.(XD) ,141.05,138,140.5,136.05,137.51,-3.54,"1,800"
,,,,,,,
Atlas Battery Ltd. ,85.04,83.01,84.8,83,84.04,-1,"2,600"
,,,,,,,
Baluchistan Wheels Ltd.(XD) ,44.05,46.25,46.25,46.25,46.25,2.2,"1,500"
,,,,,,,
Exide Pakistan Ltd. ,132.09,130.01,131,130.01,131,-1.09,400
,,,,,,,
General Tyre & Rubber Co.(XB) ,44,44.05,44.5,42.31,42.87,-1.13,"151,000"
,,,,,,,
Loads Limited. ,12.61,12.6,12.61,12.4,12.46,-0.15,"36,500"
,,,,,,,
Thal Limited.(XD) ,232.68,233.5,234,227,229.23,-3.45,"34,900"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
EMCO Industries Ltd. ,24.09,22.9,25,22.89,25,0.91,"4,500"
,,,,,,,
Pak Elektron Ltd. ,18.94,19.18,19.29,18.29,18.38,-0.56,"2,313,500"
,,,,,,,
Siemens (Pak) Eng. Co. Ltd. ,666.32,679,679,662,662,-4.32,"1,100"
,,,,,,,
WAVES Singer Pakistan Ltd.(XB) ,20.82,20.52,21,20.1,20.38,-0.44,"176,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Attock Cement Pak Ltd. ,78.01,77,78.9,76.25,78.9,0.89,"4,500"
,,,,,,,
Bestway Cement Limited. ,91.2,87,91.2,86.64,86.83,-4.37,"59,700"
,,,,,,,
Cherat Cement Co. Ltd.(XDXB) ,32.14,32.4,32.75,31.8,31.98,-0.16,"581,500"
,,,,,,,
D. G. Khan Cement Co. Ltd.(XD) ,56.45,56.36,58.4,55.85,56.61,0.16,"3,871,500"
,,,,,,,
Dewan Cement Limited. ,7.61,7.7,7.8,7.55,7.65,0.04,"243,000"
,,,,,,,
Fauji Cement Co Ltd. ,15.04,15.05,15.4,14.85,14.96,-0.08,"3,695,500"
,,,,,,,
Fecto Cement Ltd.(XD) ,18.21,17.6,18.2,17.55,17.65,-0.56,"4,500"
,,,,,,,
Flying Cement Company Ltd. ,13.51,13.51,14.15,13.15,14.15,0.64,"2,000"
,,,,,,,
Gharibwal Cement Ltd.(XD) ,9.7,9.9,9.94,9.75,9.9,0.2,"14,000"
,,,,,,,
Javedan Corporation Ltd.(XB) ,24.6,24.98,24.98,23.37,23.37,-1.23,"2,000"
,,,,,,,
Kohat Cement Co. Ltd.(XD) ,53.5,54,54.5,53.05,53.39,-0.11,"76,500"
,,,,,,,
Lucky Cement Limited. ,362.93,364,371.5,363.5,365.21,2.28,"781,700"
,,,,,,,
Maple Leaf Cement Factory Ltd.(XD) ,16.88,16.88,17.25,16.7,16.79,-0.09,"2,561,500"
,,,,,,,
Pioneer Cement Ltd. ,23.74,23.6,24.25,23.15,23.57,-0.17,"292,000"
,,,,,,,
Power cement Limited ,5.27,5.25,5.47,5.23,5.28,0.01,"468,000"
,,,,,,,
Safe Mix Concrete Ltd. ,7.21,7.34,7.34,7.34,7.34,0.13,500
,,,,,,,
Thatta Cement Company Ltd. ,8.36,8.6,8.6,8.21,8.23,-0.13,"14,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Agritech Limited ,3.14,3.13,3.27,3.12,3.17,0.03,"410,500"
,,,,,,,
Akzo Nobel Pakistan Limited. ,102.06,101.5,102,100.5,102,-0.06,"1,900"
,,,,,,,
Archroma Pakistan Limited. ,508,508,508,508,508,0,100
,,,,,,,
Berger Paints Pakistan Ltd.(XD) ,64.55,61.75,61.75,61.5,61.5,-3.05,"1,000"
,,,,,,,
Bifo Industries Ltd.(XDXB) ,150.68,153.99,153.99,150.68,152,1.32,"1,000"
,,,,,,,
Buxly Paints Ltd. ,48.56,49.75,49.75,46.14,46.14,-2.42,"7,500"
,,,,,,,
Colgate Palmolive (Pak) Ltd. ,"2,079.00",1975.05,2049,1975.05,2049,-30,240
,,,,,,,
Descon Oxychem Ltd. ,15.01,15.05,15.25,14.6,14.71,-0.3,"628,000"
,,,,,,,
DYNEA Pak.(XD) ,82.05,85.99,85.99,82.05,82.05,0,"1,000"
,,,,,,,
Engro Polymer & Chemicals Ltd. ,27.77,27.6,28.09,27.51,27.62,-0.15,"807,000"
,,,,,,,
Ghani Galobal Holding Limited. ,8.4,8.3,8.88,8.11,8.16,-0.24,"375,500"
,,,,,,,
ICI Pakistan Limited. ,504.24,500,500,490.01,492.23,-12.01,"1,550"
,,,,,,,
Ittehad Chemical Ltd. ,19.54,19.6,19.6,19.6,19.6,0.06,"3,500"
,,,,,,,
Lotte Chemical Pakistan Ltd. ,16.61,16.61,16.65,16.05,16.13,-0.48,"18,392,500"
,,,,,,,
Nimir Industrial Chemical Ltd.(XD) ,50,50,50,50,50,0,"6,000"
,,,,,,,
Nimir Resins Limited. ,6.69,6.69,6.8,6.55,6.58,-0.11,"191,500"
,,,,,,,
Sitara Chemicals.(XD) ,269.33,269.99,269.99,265,265,-4.33,300
,,,,,,,
Sitara Peroxide Limited ,16.93,17.1,17.1,16.46,16.59,-0.34,"81,000"
,,,,,,,
Wah Noble Chemicals Ltd.(XD) ,224.36,227,228,227,227.13,2.77,800
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Golden Arrow. ,6.1,6.2,6.2,6.11,6.2,0.1,"6,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Allied Bank Ltd. ,87.51,87,87,86.52,86.87,-0.64,"50,900"
,,,,,,,
Askari Bank Limited. ,17.61,17.55,17.82,17.25,17.41,-0.2,"246,500"
,,,,,,,
Bank Al-Habib Ltd. ,70.09,70,71,69,70.44,0.35,"157,000"
,,,,,,,
Bank Alfalah Ltd. ,43.57,43.26,44,42.75,43.27,-0.3,"658,500"
,,,,,,,
Bank Of Punjab. ,9.71,9.71,10.07,9.7,9.79,0.08,"7,770,500"
,,,,,,,
Bankislami Pakistan Ltd. ,10.83,10.73,11.24,10.7,10.99,0.16,"12,500"
,,,,,,,
Bankislami Pakistan Ltd.(R2) ,0.38,0.35,0.44,0.26,0.35,-0.03,"66,000"
,,,,,,,
Faysal Bank Limited. ,17,17,17.65,16.99,17.52,0.52,"44,500"
,,,,,,,
Habib Bank Limited.(XD) ,131.08,132.49,132.6,126.81,128.69,-2.39,"1,210,000"
,,,,,,,
Habib Metropolitn Bank Limited. ,31.5,31.5,31.5,31.49,31.5,0,"140,000"
,,,,,,,
JS Bank Limited. ,4.28,4.3,4.3,4.3,4.3,0.02,500
,,,,,,,
MCB Bank Limited. ,169.52,171.5,170.77,167,169.46,-0.06,"976,100"
,,,,,,,
Meezan Bank Limited.(XD) ,79.98,80,81.11,79.55,79.93,-0.05,"117,000"
,,,,,,,
National Bank Of Pakistan. ,34.67,34.95,35.49,33.81,34.02,-0.65,"579,500"
,,,,,,,
Samba Bank Limited. ,5.55,6.55,6.55,6,6.45,0.9,"73,000"
,,,,,,,
Silk Bank Limited. ,0.86,0.89,0.92,0.85,0.85,-0.01,"868,000"
,,,,,,,
Soneri Bank Ltd. ,9.56,9.4,9.4,9.4,9.4,-0.16,500
,,,,,,,
Standard Chartered Bank Pak Ltd. ,22.5,22,22.6,21.38,22.37,-0.13,"20,500"
,,,,,,,
Summit Bank Limited. ,0.91,0.94,0.94,0.8,0.87,-0.04,"1,091,500"
,,,,,,,
The Bank of Khyber. ,11.43,11.4,11.4,11.4,11.4,-0.03,"4,000"
,,,,,,,
United Bank Ltd. ,141.77,143,142,139.16,141,-0.77,"1,457,800"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Ados Pakistan Limited. ,20.89,19.85,20.89,19.85,19.85,-1.04,"1,500"
,,,,,,,
Aisha Steel Mills Limited. ,8.26,8.2,8.33,8.02,8.1,-0.16,"152,000"
,,,,,,,
Amreli Steels Limited. ,26.53,26.5,27.3,26.4,26.55,0.02,"1,810,500"
,,,,,,,
Bolan Casting Ltd. ,41.53,42.5,42.5,42.5,42.5,0.97,"3,000"
,,,,,,,
Crescent Steel & Allied Product. ,42.23,42,42.2,41,41.9,-0.33,"23,500"
,,,,,,,
Dost Steels Ltd. ,5.29,5.3,5.4,5.2,5.29,0,"767,000"
,,,,,,,
Drekkar Kingsway Ltd. [ DEFAULTER SEGMENT ],1.6,1.56,1.56,1.55,1.55,-0.05,"1,500"
,,,,,,,
International Industries Ltd.(XDXB) ,80.49,80.49,81.9,76.47,76.47,-4.02,"685,000"
,,,,,,,
International Steels Limited. ,42.79,42.75,43.56,42.6,42.96,0.17,"959,500"
,,,,,,,
Ittefaq Iron Industries Limited. ,6.85,6.9,7.15,6.83,6.87,0.02,"134,500"
,,,,,,,
KSB Pumps Co Ltd. ,99,103.75,103.8,94.05,95.21,-3.79,"3,500"
,,,,,,,
Mughal Iron & Steels Ind Ltd. ,30.91,31.2,31.41,30.5,30.6,-0.31,"835,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Arif Habib Corporation Ltd. ,24.48,24.5,24.55,24.5,24.55,0.07,"7,500"
,,,,,,,
Engro Corporation Limited. ,279.7,279.99,289.95,278,287.72,8.02,"1,949,100"
,,,,,,,
Engro Fertilizers Limited. ,69.07,69.64,72.52,69.25,72.14,3.07,"7,922,000"
,,,,,,,
Fatima Fertilizer Co Ltd. ,25.8,25.51,26,25.51,25.99,0.19,"29,500"
,,,,,,,
Fauji Fertilizer Bin Qasim Ltd. ,18.58,18.61,18.79,17.92,18.01,-0.57,"957,000"
,,,,,,,
Fauji Fertilizer Co. Ltd. ,95.85,95.5,96.75,93.55,96.54,0.69,"699,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Al-Shaheer Corporation. ,11.42,11.43,11.6,10.71,10.81,-0.61,"279,000"
,,,,,,,
At-Tahur Ltd.(XD) ,18.17,18.25,18.25,17.9,17.95,-0.22,"62,000"
,,,,,,,
Clover Pakistan Limited. ,60.27,60.99,60.99,59.7,59.7,-0.57,"4,500"
,,,,,,,
Fauji Foods Limited. ,11.93,11.77,12,11.24,11.4,-0.53,"2,079,500"
,,,,,,,
Frieslandcampina Engro Pakistan Ltd. ,70.54,70.01,70.01,67.02,67.02,-3.52,"398,500"
,,,,,,,
Gillatte Pakistan Ltd. ,158.82,160,164.99,160,164.49,5.67,500
,,,,,,,
Matco Foods Limited.(XD) ,23.72,23.99,24.47,23.56,23.7,-0.02,"265,000"
,,,,,,,
Mitchells Fruit Farms Ltd. ,214.98,225.72,225.72,225.72,225.72,10.74,"1,100"
,,,,,,,
Murree Brewery Company Ltd.(XD) ,688,679.9,700,679.9,689.97,1.97,350
,,,,,,,
National Foods Ltd.(XDXB) ,149,150,150,147,147.46,-1.54,"5,900"
,,,,,,,
Nestle Pakistan Ltd. ,"5,525.00",5525,5801.25,5525,5764.24,239.24,"1,040"
,,,,,,,
Quice Food Industries Ltd. ,3.65,3.65,3.95,3.5,3.61,-0.04,"621,000"
,,,,,,,
Rafhan Maize Products Ltd. ,"7,100.00",7200,7200,7200,7200,100,20
,,,,,,,
Shezan International Ltd.(XD) ,394.5,400,400,400,400,5.5,100
,,,,,,,
Treet Corporation Ltd. ,15.11,15.08,15.48,15,15.09,-0.02,"104,500"
,,,,,,,
Unilever Pakistan Foods Ltd. ,"6,700.00",6999.5,6999.5,6700,6999.5,299.5,100
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Baluchistan Glass Ltd. ,5.59,5.6,5.7,5.15,5.24,-0.35,"443,000"
,,,,,,,
Ghani Glass Ltd. ,40.35,40,40.11,40,40,-0.35,"10,500"
,,,,,,,
Ghani Global Glass Limited. ,6.31,6.13,6.25,6.1,6.1,-0.21,"19,500"
,,,,,,,
Ghani Value Glass Limited.(XD) ,43.37,43,43,43,43,-0.37,500
,,,,,,,
Shabbir Tiles and Ceramics Limited.(XD) ,9.95,9.9,10.05,9.61,9.69,-0.26,"100,500"
,,,,,,,
Tariq Glass.(XD) ,67.67,68,68.6,66,66.01,-1.66,"169,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Adamjee Insurance Co. Ltd.(XD) ,29.75,29.52,30.5,29.01,30.14,0.39,"37,000"
,,,,,,,
Askari Gen Insurance Co. ,19.86,18.9,20,18.9,20,0.14,"1,000"
,,,,,,,
Askari Life Assurance Company Ltd. ,7.05,7.01,7.01,7.01,7.01,-0.04,"1,000"
,,,,,,,
Cresent Star Insurance Ltd. ,1.75,1.78,1.85,1.69,1.7,-0.05,"95,000"
,,,,,,,
E. F. U. Gen Insurance Ltd. ,87.8,0,87.8,87.8,87.8,0,500
,,,,,,,
EFU Life Assurance Ltd. ,206,202.01,202.01,200.01,201.01,-4.99,200
,,,,,,,
IGI Holdings Limited. ,157,152,156,152,155,-2,"2,300"
,,,,,,,
IGI Life Insurance Ltd. ,16,16.35,16.4,15.5,15.54,-0.46,"6,000"
,,,,,,,
Pakistan General Insurance Co. [ DEFAULTER SEGMENT ],3.09,2.5,2.5,2.5,2.5,-0.59,500
,,,,,,,
Pakistan Reinsurance Comp. ,23.58,24,24,23.4,23.4,-0.18,"13,000"
,,,,,,,
PICIC Insurance Ltd. [ DEFAULTER SEGMENT ],1.2,1.25,1.25,1.11,1.24,0.04,"5,000"
,,,,,,,
Reliance Insurance. ,4.4,4.35,4.4,4.35,4.35,-0.05,"5,000"
,,,,,,,
United Insurance Company. ,7.95,7.6,8,7.52,7.99,0.04,"21,500"
,,,,,,,
Universal Insurance Company Ltd. ,3.75,3,3,3,3,-0.75,"3,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Arif Habib Limited. ,36.6,35.56,36,34.77,34.95,-1.65,"82,000"
,,,,,,,
BIPL Securities Ltd. ,8.24,9.23,9.23,8.55,8.55,0.31,"1,000"
,,,,,,,
Cyan Limited. ,22.95,22,22.75,21.9,22.75,-0.2,"1,500"
,,,,,,,
Dawood Equities Ltd. ,2.36,2.02,2.02,2.02,2.02,-0.34,"387,000"
,,,,,,,
Dawood Hercules Corporation Ltd. ,126.8,127,130,126,127.76,0.96,"43,600"
,,,,,,,
EFG Hermes Pakistan Ltd. ,10.1,10.95,10.95,10.95,10.95,0.85,500
,,,,,,,
Escorts Investment Bank Ltd. ,9.92,10,10,9.95,10,0.08,"39,000"
,,,,,,,
First Capital Sec.Corp. Ltd. ,1,0.99,1,0.9,0.9,-0.1,"160,500"
,,,,,,,
First Dawood Investment Bank Ltd. ,1.69,1.66,1.74,1.66,1.69,0,"56,000"
,,,,,,,
First National Equities Limited. ,5.09,5.44,6,5.43,5.94,0.85,"22,000"
,,,,,,,
Invest Capital Investment Bank Ltd. ,0.83,0.6,0.95,0.6,0.91,0.08,"26,000"
,,,,,,,
Jahangir Siddiqui & Company Ltd. ,9.73,9.6,10.73,9.33,10.2,0.47,"217,000"
,,,,,,,
Pakistan Stock Exchange Limited. ,9.1,9.01,9.25,8.91,9,-0.1,"85,500"
,,,,,,,
Pervez Ahmed Consultancy Services Ltd. ,0.78,0.79,0.79,0.72,0.74,-0.04,"46,500"
,,,,,,,
Trust Investment Bank Ltd. ,1,1.01,1.05,0.82,1,0,"73,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Capital Assets Leasing Corp. [ DEFAULTER SEGMENT ],4.06,4.01,4.01,4.01,4.01,-0.05,500
,,,,,,,
Orix Leasing Pakistan Ltd.(XD) ,22.08,21.81,22.08,21.8,22.08,0,"4,000"
,,,,,,,
Saudi Pak Leasing Co. [ DEFAULTER SEGMENT ],1.02,1.15,1.15,1.05,1.05,0.03,"7,500"
,,,,,,,
Security Leasing Corp. [ DEFAULTER SEGMENT ],1.6,1.6,1.61,1.6,1.61,0.01,"24,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Leather Up Ltd. ,11.69,11.9,12.47,11.9,12.47,0.78,"2,500"
,,,,,,,
Service Industries. ,632.5,625,625,605,618.99,-13.51,900
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Al-Khair Gadoon Ltd. ,8,8,8.25,8,8,0,"17,000"
,,,,,,,
ECOPAK Limited.(XDXB) ,11.55,12,12,11.75,11.75,0.2,"7,000"
,,,,,,,
Gammon Pak. ,8,0,8,8,8,0,"1,000"
,,,,,,,
Olympia Mills Limited. ,7.7,6.92,7.39,6.91,7.07,-0.63,"7,000"
,,,,,,,
Pace (Pakistan) Ltd. ,1.55,1.52,1.65,1.52,1.52,-0.03,"59,000"
,,,,,,,
Siddiqsons Tin Plate Ltd. ,10.41,10.4,10.69,10.26,10.32,-0.09,"308,000"
,,,,,,,
Synthetic Products Enterprises Ltd.(XDXB ,19.4,20,20.4,20,20.4,1,"624,500"
,,,,,,,
TPL Properties Limited. ,7.5,7.49,7.84,7.11,7.84,0.34,"3,500"
,,,,,,,
Tri-Pack Films Ltd. ,62.92,62,63,59.78,60.29,-2.63,"41,000"
,,,,,,,
United Brands Limited. ,15.55,15.9,16.45,15,16.38,0.83,"4,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
B.R.R. Guardian Modaraba.(XD) ,6.76,6.73,6.73,6.71,6.72,-0.04,"2,000"
,,,,,,,
First Elite Capital Mod. ,1.36,1.29,1.29,1.29,1.29,-0.07,500
,,,,,,,
First Equity Mod. ,2,2,2.24,2,2.04,0.04,"58,500"
,,,,,,,
First Fidelity Leasing Mod. ,4.4,4.02,4.02,4.02,4.02,-0.38,"1,000"
,,,,,,,
First Habib Mod.(XD) ,8.62,8.41,8.7,8.41,8.65,0.03,"2,500"
,,,,,,,
First National Bank Modaraba. [ DEFAULTER SEGMENT ],1.2,1,1,1,1,-0.2,"1,000"
,,,,,,,
First Pak Mod. ,1.45,1.4,1.64,1.31,1.64,0.19,"1,500"
,,,,,,,
First Prudential Mod. ,1.02,0.97,1.09,0.97,0.97,-0.05,"21,000"
,,,,,,,
First Punjab Mod. ,2.3,2.3,2.36,2.3,2.3,0,"11,500"
,,,,,,,
First UDL Mod.(XB) ,7.14,7,7,6.61,7,-0.14,"8,000"
,,,,,,,
Orient rental Modaraba.(XD) ,9,9.01,9.01,9.01,9.01,0.01,"1,500"
,,,,,,,
Orix Modaraba.(XD) ,15,14.85,15,14.75,14.77,-0.23,"8,000"
,,,,,,,
Sindh Modaraba.(XD) ,8.65,7.75,7.75,7.75,7.75,-0.9,"1,000"
,,,,,,,
Unicap Modaraba. [ DEFAULTER SEGMENT ],0.63,0.85,0.85,0.85,0.85,0.22,500
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Mari Petroleum Company Ltd.(XDXB) ,"1,015.38",1048,1048,993.01,1032.28,16.9,"9,820"
,,,,,,,
Oil & Gas Development Company Ltd.(XD) ,126.82,127,127.3,125.1,125.67,-1.15,"995,900"
,,,,,,,
Pakistan Oilfields Limited. ,373.41,375.8,376.99,371.5,375.92,2.51,"107,400"
,,,,,,,
Pakistan Petroleum Limited.(XDXB) ,112.88,112.5,114.15,111.11,112.89,0.01,"689,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Attock Petroleum Limited. ,300,303,305,298.5,299.85,-0.15,"3,000"
,,,,,,,
Burshane LPG (Pakistan) Limited.(XD) ,23.1,22.65,22.65,22.65,22.65,-0.45,500
,,,,,,,
Hascol Petroleum Ltd. ,31.66,33.24,33.24,31,33.24,1.58,"3,062,500"
,,,,,,,
Hi-Tech Lubricants Limited.(XD) ,28.15,28.11,28.8,27.75,27.96,-0.19,"247,500"
,,,,,,,
Pakistan State Oil Co Ltd.(XDXB) ,142.13,142.01,143.25,139.1,140.15,-1.98,"1,126,000"
,,,,,,,
Shell Pakistan Ltd. ,163.01,162,165.96,160.11,163.33,0.32,"49,200"
,,,,,,,
Sui Northern Gas Pipe Line Ltd. ,64.53,64.25,66.85,64.2,65.65,1.12,"1,169,000"
,,,,,,,
Sui Southern Gas Co Ltd. ,17.28,17.27,17.47,16.85,16.93,-0.35,"745,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Baluchistan Particle Board Ltd [ DEFAULTER SEGMENT ],3.09,3.1,3.2,3,3,-0.09,"5,500"
,,,,,,,
Century Paper & Board Mills. ,33.3,33.01,33.24,32.06,33.24,-0.06,"6,000"
,,,,,,,
Cherat Packaging Limited.(XDXB) ,70.45,71.99,71.99,67.1,68.41,-2.04,"63,500"
,,,,,,,
Merit Packaging Ltd. ,13.99,13.99,14.28,13.75,13.81,-0.18,"21,500"
,,,,,,,
Packages Ltd. ,290,290,300,290,292.5,2.5,"30,300"
,,,,,,,
Roshan Packages Limited. ,14.45,14.5,14.7,14.21,14.3,-0.15,"56,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Abbot Laboratories Pak Ltd. ,339.72,322.74,330,322.74,325.68,-14.04,"171,900"
,,,,,,,
AGP Limited. ,73.82,73.99,76.81,73.99,75.66,1.84,"18,000"
,,,,,,,
Ferozsons Laboratories Ltd.(XD) ,163.37,160.51,171.53,158.25,171.44,8.07,"273,800"
,,,,,,,
Glaxo SmithKline Healthcare Pak Ltd. ,259.48,255.01,265.15,250.13,256.96,-2.52,"10,000"
,,,,,,,
Glaxo SmithKline Pakistan Ltd. ,106.92,103.3,111.88,102.76,107.14,0.22,"109,800"
,,,,,,,
Highnoon Laboratories Ltd. ,370,370,370,365,368.5,-1.5,"5,100"
,,,,,,,
IBL HealthCare Limited.(XD) ,33.5,33.4,34,33,33.3,-0.2,"31,500"
,,,,,,,
Otsuka Pakistan Ltd. ,220.94,210.9,230,210,224.5,3.56,"3,100"
,,,,,,,
The Searle Company Ltd.(XD) ,157.71,157.1,161.57,155.79,157.52,-0.19,"1,482,700"
,,,,,,,
Wyeth Pakistan Limited. ,748.5,715,748,715,739.99,-8.51,350
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Altern Energy Ltd.(XD) ,23,23.25,23.25,23.1,23.1,0.1,"10,500"
,,,,,,,
Engro Powergen Qadirpur Ltd. ,22.76,22.76,23.27,22.3,22.8,0.04,"11,000"
,,,,,,,
Hub Power Company Limited. ,74.01,73.7,74.98,73.5,74.06,0.05,"406,000"
,,,,,,,
K-Electric Limited. ,3.9,3.91,3.97,3.86,3.89,-0.01,"1,153,000"
,,,,,,,
Kohinoor Energy Ltd.(XD) ,38.94,39,39,39,39,0.06,500
,,,,,,,
Kot Addu Power Company.(XD) ,32.21,32.48,32.7,31.5,31.59,-0.62,"409,000"
,,,,,,,
LALPIR Power Limited. ,11.47,11.26,11.6,11.25,11.55,0.08,"10,500"
,,,,,,,
Nishat Chunian Power Ltd. ,16.99,16.5,16.88,16.31,16.61,-0.38,"92,000"
,,,,,,,
Nishat Power Limited. ,22.59,22.95,23,22.95,22.95,0.36,"3,000"
,,,,,,,
Pakgen Power Limited. ,12.44,12.39,12.44,11.72,12.27,-0.17,"21,500"
,,,,,,,
Saif Power Ltd. ,16.7,16.7,16.7,16.7,16.7,0,500
,,,,,,,
Tri -Star Power Ltd. ,2.5,2.64,2.64,2.64,2.64,0.14,500
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Attock Refinery Limited. ,84.28,83.9,86.88,83.75,84.6,0.32,"1,146,000"
,,,,,,,
BYCO Petroleum Pak Ltd. ,6.31,6.32,6.48,6.23,6.26,-0.05,"340,000"
,,,,,,,
National Refinary Ltd. ,109.77,110.01,112.24,109.21,109.93,0.16,"370,100"
,,,,,,,
Pakistan Refinery Ltd. ,14.62,14.75,15.1,14.6,14.91,0.29,"363,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Abdullah Shaha Ghazi Suger Mills Ltd. ,3.47,3.49,3.8,3.15,3.2,-0.27,"464,500"
,,,,,,,
Adam Sugar Mills Limited. ,19.36,18.55,19.97,18.55,19.74,0.38,"3,000"
,,,,,,,
Ansari Sugar Mills Ltd. [ DEFAULTER SEGMENT ],5.8,5.4,5.67,5.25,5.61,-0.19,"59,500"
,,,,,,,
Chashma Sugar Mills Ltd ,51.21,49.52,51.42,49.01,51.39,0.18,"14,500"
,,,,,,,
Dewan Sugar Mills Ltd. [ DEFAULTER SEGMENT ],3.18,3.3,3.34,3.3,3.34,0.16,"2,000"
,,,,,,,
Faran Sugar Mills Ltd. ,42.92,45.06,45.06,45,45.06,2.14,"38,000"
,,,,,,,
Habib Sugar Mills Ltd. ,32.78,33.24,33.49,32.43,32.57,-0.21,"180,000"
,,,,,,,
