SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Habib-ADM Limited.(XD) ,41.5,39.43,39.43,39.43,39.43,-2.07,500
,,,,,,,
Haseeb Waqas Sugar Mills Limit ,3.77,3.66,3.75,3.35,3.37,-0.4,"120,000"
,,,,,,,
Husein Sugar Mills Limited. ,20.58,19.65,20.35,19.56,19.56,-1.02,"78,000"
,,,,,,,
Imperial Sugar Limited. [ DEFAULTER SEGMENT ],17.03,16.03,17.39,16.03,17.39,0.36,"1,000"
,,,,,,,
Jauharabad Sugar Mills Ltd. ,14.5,15.38,15.5,14,15.49,0.99,"447,000"
,,,,,,,
Mirpurkhas Sugar Mills Ltd. ,77,77,80.85,77,80.8,3.8,"9,500"
,,,,,,,
Noon Sugar Mills Ltd. ,52.03,52.99,53,52,52.71,0.68,"3,500"
,,,,,,,
Sakrand Sugar Mills Ltd. ,13.92,14.79,14.85,12.92,13.22,-0.7,"644,500"
,,,,,,,
Sanghar Sugar Mills Ltd. ,24.29,23.08,24.78,23.08,23.93,-0.36,"7,500"
,,,,,,,
Shahmurad Sugar Mills Ltd. ,96.58,101.4,101.4,101.4,101.4,4.82,"1,000"
,,,,,,,
Shahtaj Suger Mills Ltd.(XD) ,43.54,45.7,45.71,45.7,45.71,2.17,"1,000"
,,,,,,,
Shakarganj Limited. ,38,39.45,39.9,37.1,39.5,1.5,"47,000"
,,,,,,,
Sindh Abadgars Sugar Mills Ltd. ,15.2,15.95,15.95,15.95,15.95,0.75,500
,,,,,,,
Thal Industries Corporation Ltd. ,218.08,220,220,220,220,1.92,200
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Tri-Star Polyester Ltd. ,7.45,7.55,7.65,7.35,7.41,-0.04,"56,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Avanceon Limited. ,35.79,36.08,36.79,35.7,36.46,0.67,"1,320,500"
,,,,,,,
Hum Network Limited. ,2.85,2.89,2.9,2.7,2.72,-0.13,"184,500"
,,,,,,,
Media Times Limited. ,0.95,0.9,1,0.9,0.93,-0.02,"20,000"
,,,,,,,
NetSol Technologies Ltd.(XD) ,62.47,62.01,63.5,61.8,62.01,-0.46,"141,500"
,,,,,,,
Pak Datacom Limited. ,39.98,38.51,38.51,37.99,37.99,-1.99,"4,000"
,,,,,,,
Pakistan Telecommunication Co. ,7.62,7.55,7.8,7.52,7.56,-0.06,"539,500"
,,,,,,,
Systems Limited. ,88.21,87.75,89,87.5,88.57,0.36,"7,000"
,,,,,,,
Telecard Ltd. ,1.47,1.5,1.5,1.42,1.49,0.02,"67,000"
,,,,,,,
TPL CORP Limited. ,3.81,3.85,3.85,3.61,3.81,0,"373,500"
,,,,,,,
TRG Pakistan Ltd. ,16.16,16.14,16.64,15.9,16.06,-0.1,"5,346,000"
,,,,,,,
Worldcall Telecom Ltd. ,1.06,1.06,1.13,1.04,1.07,0.01,"1,029,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Artistic Denim Mills Limited.(XD) ,60,59.79,63,59.5,63,3,"5,500"
,,,,,,,
Azgard Nine Limited ,11.25,11.35,11.7,11.12,11.4,0.15,"780,000"
,,,,,,,
Bleesed Textile Ltd.(XD) ,250.57,254.99,254.99,254.99,254.99,4.42,200
,,,,,,,
Crescent Textile Mills Ltd.(XD) ,24.39,23.2,25,23.2,25,0.61,"1,000"
,,,,,,,
Ghazi Fabrics International Ltd. ,4,4,4,4,4,0,"2,500"
,,,,,,,
Gul Ahmed Textile Mills Ltd.(XDXB) ,38.91,38.75,39.48,38,38.39,-0.52,"546,500"
,,,,,,,
Hala Enterprises Limited ,5.5,6.49,6.49,6.49,6.49,0.99,500
,,,,,,,
Interloop Limited.(XD) ,46.79,47.24,47,46.21,46.29,-0.5,"261,500"
,,,,,,,
International Knitwear Ltd.(XD) ,10.69,10.5,11.69,10.5,11.69,1,"12,500"
,,,,,,,
Kohinoor Industries Ltd. ,3.11,3.13,3.22,3,3.03,-0.08,"44,000"
,,,,,,,
Kohinoor Textile Mills Ltd.(XD) ,29.45,29.9,29.9,28.52,28.95,-0.5,"115,000"
,,,,,,,
Masood Textile Mills Ltd.(XD) ,57.75,60.6,60.63,60.6,60.6,2.85,"1,000"
,,,,,,,
Nishat (Chunia) Ltd. ,37.93,37.9,38.6,37.8,38.56,0.63,"920,500"
,,,,,,,
Nishat Mills Ltd.(XD) ,86.89,87.5,89,85.17,85.91,-0.98,"762,700"
,,,,,,,
Redco Textile Ltd. ,4.4,4.6,4.88,4.5,4.51,0.11,"141,500"
,,,,,,,
Reliance Weaving Mills Ltd.(XD) ,28.5,28.5,29.5,28.5,29.5,1,"4,500"
,,,,,,,
Sapphire Fibres Mills Ltd.(XDXR) ,670.48,704,704,704,704,33.52,50
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Amtex Limited. [ DEFAULTER SEGMENT ],0.88,0.9,0.93,0.87,0.88,0,"75,000"
,,,,,,,
Asim Textile Mills Ltd. ,7.45,8.45,8.45,7.8,7.95,0.5,"416,500"
,,,,,,,
Babri Cotton Mills Ltd. ,63.96,67.15,67.15,67.15,67.15,3.19,"1,000"
,,,,,,,
Bilal Fibres Ltd. [ DEFAULTER SEGMENT ],1.61,1.62,1.81,1.6,1.62,0.01,"239,000"
,,,,,,,
Chakwal Spinning Mills Limited. ,1.74,1.66,1.74,1.66,1.74,0,"15,500"
,,,,,,,
Colony Textile Mills Ltd. ,3.52,3.5,3.58,3.4,3.43,-0.09,"17,000"
,,,,,,,
D. S. Industries Ltd. ,1.92,1.91,1.98,1.85,1.86,-0.06,"122,500"
,,,,,,,
Dewan Farooque Spinning Mills Ltd. ,1.6,1.5,1.62,1.56,1.56,-0.04,"2,000"
,,,,,,,
Fazal Cloth Mills Ltd.(XD) ,134.5,0,134.5,134.5,134.5,0,"1,500"
,,,,,,,
Gadoon Textile Mills Ltd. ,149.9,143.25,150,143.25,147.48,-2.42,"2,800"
,,,,,,,
Hira Textile Mills Ltd. ,3.65,3.8,4,3.7,3.75,0.1,"160,000"
,,,,,,,
Janana De Malucha Tex Mills. ,66,65,65,65,65,-1,500
,,,,,,,
Khurshid Spinning Mills Ltd. [ DEFAULTER SEGMENT ],4,0,4,4,4,0,500
,,,,,,,
Kohinoor Spinning Mills Ltd. ,1.58,1.55,1.63,1.54,1.58,0,"62,000"
,,,,,,,
Landmark Spinning Mills Limite [ DEFAULTER SEGMENT ],7.5,7.5,7.5,7.5,7.5,0,500
,,,,,,,
Premium Textile Mills Ltd.(XD) ,216.6,225.99,225.99,210.01,211.01,-5.59,"1,000"
,,,,,,,
Ravi Textile Mills Ltd. [ DEFAULTER SEGMENT ],3.11,3.05,3.05,3,3,-0.11,"2,500"
,,,,,,,
Ruby Textile Mills Ltd. ,4.1,3.82,4.09,3.82,4.09,-0.01,"3,000"
,,,,,,,
Sajjad Textile Mills Ltd. [ DEFAULTER SEGMENT ],6.68,7.6,7.6,6.68,7.6,0.92,"1,000"
,,,,,,,
Saritow Spinning Mills Ltd. ,4.87,4.75,4.75,4.4,4.49,-0.38,"67,500"
,,,,,,,
Service Textile Mills Ltd.(XD) ,9.85,0,9.85,9.85,9.85,0,"1,000"
,,,,,,,
Shadab Textile Mills Ltd.(XDXR) ,30.03,31.4,31.53,28.53,28.58,-1.45,"172,000"
,,,,,,,
Shahzad Textile Mills Ltd.(XD) ,28.5,0,28.5,28.5,28.5,0,"1,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Samin Textiles Ltd. ,3.6,3.41,3.8,3.34,3.5,-0.1,"3,500"
,,,,,,,
Service Fabrics Ltd. ,2.2,2.25,2.25,2.25,2.25,0.05,"1,000"
,,,,,,,
Yousuf Weaving Mills Limited. ,2.58,2.7,2.76,2.51,2.61,0.03,"91,000"
,,,,,,,
Zephyr Textile Limited.(XD) ,6.4,6.6,6.6,6.6,6.6,0.2,500
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Khyber Tobacco Co. Ltd. ,186.75,186.01,196.08,186,196.07,9.32,"1,700"
,,,,,,,
Pakistan Tobacco Co Ltd. ,"2,399.00",2300,2300,2300,2300,-99,20
,,,,,,,
Philip Morris (Pakistan)Ltd. ,"3,050.00",2897.5,2897.5,2897.5,2897.5,-152.5,40
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Pak International Airline Corp Ltd [ DEFAULTER SEGMENT ],6.03,6,6.05,5.82,5.93,-0.1,"688,000"
,,,,,,,
Pakistan Int.Container Terminal. ,162.96,162.01,162.01,157,158.34,-4.62,"1,700"
,,,,,,,
Pakistan Intl. Bulk Terminal Ltd. ,9,9.01,9.23,8.86,9.04,0.04,"2,829,000"
,,,,,,,
Pakistan National Shipping Co.(XD) ,66,64.21,66,64.21,65.95,-0.05,"15,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Punjab Oil Mills Ltd.(XD) ,169.91,0,169.91,169.91,169.91,0,100
,,,,,,,
S .S . Oil Mills Ltd. ,21.5,20.6,20.6,20.6,20.6,-0.9,500
,,,,,,,
Unity Foods Limited.(XD) ,10.71,10.71,10.87,10.31,10.4,-0.31,"4,070,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Bannu Woollen Mills Limited. ,34.73,33,33,33,33,-1.73,500
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Dolmen City REIT. ,11,11,11.1,11,11.04,0.04,"121,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Amreli Steels Limited. ,26.48,26.4,27.15,26.2,26.46,-0.02,"1,557,000"
,,,,,,,
Attock Refinery Limited. ,84.63,84.99,87,84.1,84.94,0.31,"1,431,000"
,,,,,,,
Bank Of Punjab. ,9.74,9.77,10.1,9.74,9.84,0.1,"3,832,500"
,,,,,,,
Cherat Cement Co. Ltd. ,32.22,32,32.73,31.7,32.08,-0.14,"397,500"
,,,,,,,
D. G. Khan Cement Co. Ltd. ,56.07,56.1,57.85,55.82,56.28,0.21,"4,369,500"
,,,,,,,
Descon Oxychem Ltd. ,15.1,15.1,15.3,14.6,14.74,-0.36,"621,500"
,,,,,,,
Engro Corporation Limited. ,279.84,279.15,288.5,279.01,287.5,7.66,"352,500"
,,,,,,,
Engro Fertilizers Limited. ,69.17,69.35,72.62,69.35,72.03,2.86,"994,000"
,,,,,,,
Engro Polymer & Chemicals Ltd. ,27.79,27.94,28,27.6,27.72,-0.07,"384,000"
,,,,,,,
Fauji Cement Co Ltd. ,15.07,15.19,15.35,14.9,14.93,-0.14,"926,500"
,,,,,,,
Fauji Fertilizer Bin Qasim Ltd. ,18.54,18.64,18.75,18.01,18.11,-0.43,"294,500"
,,,,,,,
Fauji Fertilizer Co. Ltd. ,95.8,95.98,97.9,95.8,96.5,0.7,"40,000"
,,,,,,,
Fauji Foods Limited. ,11.93,11.85,12.04,11.21,11.48,-0.45,"1,666,500"
,,,,,,,
Frieslandcampina Engro Pakistan Ltd. ,70.71,70.6,70.6,67.18,67.18,-3.53,"343,500"
,,,,,,,
General Tyre & Rubber Co. ,43.44,43.6,43.65,42.2,42.7,-0.74,"71,000"
,,,,,,,
Ghandhara Industries Ltd. ,76.16,76,77.25,75,75.14,-1.02,"78,500"
,,,,,,,
Gul Ahmed Textile Mills Ltd. ,38.94,38.5,39.4,38,38.56,-0.38,"92,500"
,,,,,,,
Habib Bank Limited ,130.8,129.4,132.5,127.5,129.49,-1.31,"98,500"
,,,,,,,
Hascol Petroleum Ltd. ,30.67,32.2,32.2,29.7,32,1.33,"9,255,000"
,,,,,,,
Hub Power Company Limited. ,73.96,74,74.73,74,74.43,0.47,"27,500"
,,,,,,,
International Industries Ltd. ,80.19,80.6,81.92,76.19,76.19,-4,"966,500"
,,,,,,,
International Steels Limited. ,42.94,42.79,43.75,42.75,43.08,0.14,"1,996,000"
,,,,,,,
K-Electric Limited. ,3.91,3.91,4,3.88,3.89,-0.02,"177,000"
,,,,,,,
Kohat Cement Co. Ltd. ,54,54,54,53.5,53.5,-0.5,"4,000"
,,,,,,,
Kot Addu Power Company. ,32.35,31.76,32,31.55,31.71,-0.64,"11,000"
,,,,,,,
Lotte Chemical Pakistan Ltd. ,16.68,16.61,16.61,16.08,16.14,-0.54,"8,979,000"
,,,,,,,
Lucky Cement Limited. ,364.04,365,371.99,364.1,365.94,1.9,"782,000"
,,,,,,,
Maple Leaf Cement Factory Ltd. ,16.92,16.85,17.28,16.8,16.86,-0.06,"2,007,000"
,,,,,,,
MCB Bank Limited. ,169.43,169.43,169.99,169.43,169.99,0.56,"1,500"
,,,,,,,
Mughal Iron & Steels Ind Ltd. ,29.87,29.5,30.3,29.25,29.6,-0.27,"255,000"
,,,,,,,
National Bank Of Pakistan. ,34.78,34.66,35.22,33.65,34.1,-0.68,"185,000"
,,,,,,,
National Refinary Ltd. ,109.58,109,112,109,109.83,0.25,"349,000"
,,,,,,,
NetSol Technologies Ltd. ,62.78,62.25,63.5,62.01,62.07,-0.71,"61,000"
,,,,,,,
Nishat (Chunia) Ltd. ,37.85,38,38.75,38,38.46,0.61,"139,500"
,,,,,,,
Nishat Mills Ltd. ,86.25,86.5,87,85.5,85.53,-0.72,"189,500"
,,,,,,,
Oil & Gas Development Company Ltd. ,127.03,126.5,127.4,125.5,125.87,-1.16,"164,000"
,,,,,,,
Pak Elektron Ltd. ,18.96,18.82,19.24,18.24,18.36,-0.6,"2,638,500"
,,,,,,,
Pak Suzuki Motors Co Ltd. ,157.67,156.5,158.8,155.01,156.5,-1.17,"16,500"
,,,,,,,
Pakistan Intl. Bulk Terminal Ltd. ,9.04,9,9.29,8.9,9.06,0.02,"636,500"
,,,,,,,
Pakistan Oilfields Limited. ,375.95,375.1,376.5,374.06,376.5,0.55,"3,500"
,,,,,,,
Pakistan Petroleum Limited. ,113.14,112.7,114.3,112,113.22,0.08,"364,000"
,,,,,,,
Pakistan State Oil Co Ltd. ,142.08,141.5,143.5,139.5,140.65,-1.43,"670,500"
,,,,,,,
Pioneer Cement Ltd. ,23.65,23.5,24.05,23.4,23.52,-0.13,"204,500"
,,,,,,,
Sui Southern Gas Co Ltd. ,17.33,17.29,17.6,16.9,16.98,-0.35,"151,000"
,,,,,,,
The Searle Company Ltd. ,158.2,158.01,161.85,156,157.97,-0.23,"1,878,000"
,,,,,,,
TRG Pakistan Ltd. ,16.21,16.12,16.67,15.95,16.1,-0.11,"7,137,500"
,,,,,,,
United Bank Ltd. ,141.33,141,142.1,140,141.84,0.51,"43,500"
,,,,,,,
Unity Foods Limited. ,10.76,10.87,10.87,10.36,10.45,-0.31,"2,696,000"
Al-Ghazi Tractors Limited. ,275.96,275,281,273.5,279.68,3.72,"12,200"
,,,,,,,
Atlas Honda Limited. ,298.01,300,305,295,305,6.99,"7,500"
,,,,,,,
Dewan Farooque Motors Limited [ DEFAULTER SEGMENT ],5.78,5.65,5.79,5.51,5.61,-0.17,"45,500"
,,,,,,,
Ghandhara Nissan Ltd. ,48.58,48.6,49.39,48,48.28,-0.3,"58,500"
,,,,,,,
Ghani Automobile Industries Ltd. ,3.75,3.75,3.84,3.71,3.74,-0.01,"16,500"
,,,,,,,
Hino Pak Motor Limeted. ,290,290,290,281.5,281.75,-8.25,600
,,,,,,,
Honda Atlas Cars (Pak) Ltd. ,136.1,136.25,138,134.5,135.71,-0.39,"62,400"
,,,,,,,
Indus Motor Company Ltd.(XD) ,980.24,971,971,940.01,940.08,-40.16,"3,880"
,,,,,,,
Millat Tractors Limited.(XDXB) ,625.63,630.94,630.99,622,623.5,-2.13,"7,300"
,,,,,,,
Pak Suzuki Motors Co Ltd. ,161.01,160.01,164.98,156.5,160.18,-0.83,"18,200"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Agriautos Industries Co. Ltd.(XD) ,141.05,138,140.5,136.05,137.51,-3.54,"1,800"
,,,,,,,
Atlas Battery Ltd. ,85.04,83.01,84.8,83,84.04,-1,"2,600"
,,,,,,,
Baluchistan Wheels Ltd.(XD) ,44.05,46.25,46.25,46.25,46.25,2.2,"1,500"
,,,,,,,
Exide Pakistan Ltd. ,132.09,130.01,131,130.01,131,-1.09,400
,,,,,,,
General Tyre & Rubber Co.(XB) ,44,44.05,44.5,42.31,42.87,-1.13,"151,000"
,,,,,,,
Loads Limited. ,12.61,12.6,12.61,12.4,12.46,-0.15,"36,500"
,,,,,,,
Thal Limited.(XD) ,232.68,233.5,234,227,229.23,-3.45,"34,900"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
EMCO Industries Ltd. ,24.09,22.9,25,22.89,25,0.91,"4,500"
,,,,,,,
Pak Elektron Ltd. ,18.94,19.18,19.29,18.29,18.38,-0.56,"2,313,500"
,,,,,,,
Siemens (Pak) Eng. Co. Ltd. ,666.32,679,679,662,662,-4.32,"1,100"
,,,,,,,
WAVES Singer Pakistan Ltd.(XB) ,20.82,20.52,21,20.1,20.38,-0.44,"176,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Attock Cement Pak Ltd. ,78.01,77,78.9,76.25,78.9,0.89,"4,500"
,,,,,,,
Bestway Cement Limited. ,91.2,87,91.2,86.64,86.83,-4.37,"59,700"
,,,,,,,
Cherat Cement Co. Ltd.(XDXB) ,32.14,32.4,32.75,31.8,31.98,-0.16,"581,500"
,,,,,,,
D. G. Khan Cement Co. Ltd.(XD) ,56.45,56.36,58.4,55.85,56.61,0.16,"3,871,500"
,,,,,,,
Dewan Cement Limited. ,7.61,7.7,7.8,7.55,7.65,0.04,"243,000"
,,,,,,,
Fauji Cement Co Ltd. ,15.04,15.05,15.4,14.85,14.96,-0.08,"3,695,500"
,,,,,,,
Fecto Cement Ltd.(XD) ,18.21,17.6,18.2,17.55,17.65,-0.56,"4,500"
,,,,,,,
Flying Cement Company Ltd. ,13.51,13.51,14.15,13.15,14.15,0.64,"2,000"
,,,,,,,
Gharibwal Cement Ltd.(XD) ,9.7,9.9,9.94,9.75,9.9,0.2,"14,000"
,,,,,,,
Javedan Corporation Ltd.(XB) ,24.6,24.98,24.98,23.37,23.37,-1.23,"2,000"
,,,,,,,
Kohat Cement Co. Ltd.(XD) ,53.5,54,54.5,53.05,53.39,-0.11,"76,500"
,,,,,,,
Lucky Cement Limited. ,362.93,364,371.5,363.5,365.21,2.28,"781,700"
,,,,,,,
Maple Leaf Cement Factory Ltd.(XD) ,16.88,16.88,17.25,16.7,16.79,-0.09,"2,561,500"
,,,,,,,
Pioneer Cement Ltd. ,23.74,23.6,24.25,23.15,23.57,-0.17,"292,000"
,,,,,,,
Power cement Limited ,5.27,5.25,5.47,5.23,5.28,0.01,"468,000"
,,,,,,,
Safe Mix Concrete Ltd. ,7.21,7.34,7.34,7.34,7.34,0.13,500
,,,,,,,
Thatta Cement Company Ltd. ,8.36,8.6,8.6,8.21,8.23,-0.13,"14,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Agritech Limited ,3.14,3.13,3.27,3.12,3.17,0.03,"410,500"
,,,,,,,
Akzo Nobel Pakistan Limited. ,102.06,101.5,102,100.5,102,-0.06,"1,900"
,,,,,,,
Archroma Pakistan Limited. ,508,508,508,508,508,0,100
,,,,,,,
Berger Paints Pakistan Ltd.(XD) ,64.55,61.75,61.75,61.5,61.5,-3.05,"1,000"
,,,,,,,
Bifo Industries Ltd.(XDXB) ,150.68,153.99,153.99,150.68,152,1.32,"1,000"
,,,,,,,
Buxly Paints Ltd. ,48.56,49.75,49.75,46.14,46.14,-2.42,"7,500"
,,,,,,,
Colgate Palmolive (Pak) Ltd. ,"2,079.00",1975.05,2049,1975.05,2049,-30,240
,,,,,,,
Descon Oxychem Ltd. ,15.01,15.05,15.25,14.6,14.71,-0.3,"628,000"
,,,,,,,
DYNEA Pak.(XD) ,82.05,85.99,85.99,82.05,82.05,0,"1,000"
,,,,,,,
Engro Polymer & Chemicals Ltd. ,27.77,27.6,28.09,27.51,27.62,-0.15,"807,000"
,,,,,,,
Ghani Galobal Holding Limited. ,8.4,8.3,8.88,8.11,8.16,-0.24,"375,500"
,,,,,,,
ICI Pakistan Limited. ,504.24,500,500,490.01,492.23,-12.01,"1,550"
,,,,,,,
Ittehad Chemical Ltd. ,19.54,19.6,19.6,19.6,19.6,0.06,"3,500"
,,,,,,,
Lotte Chemical Pakistan Ltd. ,16.61,16.61,16.65,16.05,16.13,-0.48,"18,392,500"
,,,,,,,
Nimir Industrial Chemical Ltd.(XD) ,50,50,50,50,50,0,"6,000"
,,,,,,,
Nimir Resins Limited. ,6.69,6.69,6.8,6.55,6.58,-0.11,"191,500"
,,,,,,,
Sitara Chemicals.(XD) ,269.33,269.99,269.99,265,265,-4.33,300
,,,,,,,
Sitara Peroxide Limited ,16.93,17.1,17.1,16.46,16.59,-0.34,"81,000"
,,,,,,,
Wah Noble Chemicals Ltd.(XD) ,224.36,227,228,227,227.13,2.77,800
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Golden Arrow. ,6.1,6.2,6.2,6.11,6.2,0.1,"6,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Allied Bank Ltd. ,87.51,87,87,86.52,86.87,-0.64,"50,900"
,,,,,,,
Askari Bank Limited. ,17.61,17.55,17.82,17.25,17.41,-0.2,"246,500"
,,,,,,,
Bank Al-Habib Ltd. ,70.09,70,71,69,70.44,0.35,"157,000"
,,,,,,,
Bank Alfalah Ltd. ,43.57,43.26,44,42.75,43.27,-0.3,"658,500"
,,,,,,,
Bank Of Punjab. ,9.71,9.71,10.07,9.7,9.79,0.08,"7,770,500"
,,,,,,,
Bankislami Pakistan Ltd. ,10.83,10.73,11.24,10.7,10.99,0.16,"12,500"
,,,,,,,
Bankislami Pakistan Ltd.(R2) ,0.38,0.35,0.44,0.26,0.35,-0.03,"66,000"
,,,,,,,
Faysal Bank Limited. ,17,17,17.65,16.99,17.52,0.52,"44,500"
,,,,,,,
Habib Bank Limited.(XD) ,131.08,132.49,132.6,126.81,128.69,-2.39,"1,210,000"
,,,,,,,
Habib Metropolitn Bank Limited. ,31.5,31.5,31.5,31.49,31.5,0,"140,000"
,,,,,,,
JS Bank Limited. ,4.28,4.3,4.3,4.3,4.3,0.02,500
,,,,,,,
MCB Bank Limited. ,169.52,171.5,170.77,167,169.46,-0.06,"976,100"
,,,,,,,
Meezan Bank Limited.(XD) ,79.98,80,81.11,79.55,79.93,-0.05,"117,000"
,,,,,,,
National Bank Of Pakistan. ,34.67,34.95,35.49,33.81,34.02,-0.65,"579,500"
,,,,,,,
Samba Bank Limited. ,5.55,6.55,6.55,6,6.45,0.9,"73,000"
,,,,,,,
Silk Bank Limited. ,0.86,0.89,0.92,0.85,0.85,-0.01,"868,000"
,,,,,,,
Soneri Bank Ltd. ,9.56,9.4,9.4,9.4,9.4,-0.16,500
,,,,,,,
Standard Chartered Bank Pak Ltd. ,22.5,22,22.6,21.38,22.37,-0.13,"20,500"
,,,,,,,
Summit Bank Limited. ,0.91,0.94,0.94,0.8,0.87,-0.04,"1,091,500"
,,,,,,,
The Bank of Khyber. ,11.43,11.4,11.4,11.4,11.4,-0.03,"4,000"
,,,,,,,
United Bank Ltd. ,141.77,143,142,139.16,141,-0.77,"1,457,800"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Ados Pakistan Limited. ,20.89,19.85,20.89,19.85,19.85,-1.04,"1,500"
,,,,,,,
Aisha Steel Mills Limited. ,8.26,8.2,8.33,8.02,8.1,-0.16,"152,000"
,,,,,,,
Amreli Steels Limited. ,26.53,26.5,27.3,26.4,26.55,0.02,"1,810,500"
,,,,,,,
Bolan Casting Ltd. ,41.53,42.5,42.5,42.5,42.5,0.97,"3,000"
,,,,,,,
Crescent Steel & Allied Product. ,42.23,42,42.2,41,41.9,-0.33,"23,500"
,,,,,,,
Dost Steels Ltd. ,5.29,5.3,5.4,5.2,5.29,0,"767,000"
,,,,,,,
Drekkar Kingsway Ltd. [ DEFAULTER SEGMENT ],1.6,1.56,1.56,1.55,1.55,-0.05,"1,500"
,,,,,,,
International Industries Ltd.(XDXB) ,80.49,80.49,81.9,76.47,76.47,-4.02,"685,000"
,,,,,,,
International Steels Limited. ,42.79,42.75,43.56,42.6,42.96,0.17,"959,500"
,,,,,,,
Ittefaq Iron Industries Limited. ,6.85,6.9,7.15,6.83,6.87,0.02,"134,500"
,,,,,,,
KSB Pumps Co Ltd. ,99,103.75,103.8,94.05,95.21,-3.79,"3,500"
,,,,,,,
Mughal Iron & Steels Ind Ltd. ,30.91,31.2,31.41,30.5,30.6,-0.31,"835,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Arif Habib Corporation Ltd. ,24.48,24.5,24.55,24.5,24.55,0.07,"7,500"
,,,,,,,
Engro Corporation Limited. ,279.7,279.99,289.95,278,287.72,8.02,"1,949,100"
,,,,,,,
Engro Fertilizers Limited. ,69.07,69.64,72.52,69.25,72.14,3.07,"7,922,000"
,,,,,,,
Fatima Fertilizer Co Ltd. ,25.8,25.51,26,25.51,25.99,0.19,"29,500"
,,,,,,,
Fauji Fertilizer Bin Qasim Ltd. ,18.58,18.61,18.79,17.92,18.01,-0.57,"957,000"
,,,,,,,
Fauji Fertilizer Co. Ltd. ,95.85,95.5,96.75,93.55,96.54,0.69,"699,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Al-Shaheer Corporation. ,11.42,11.43,11.6,10.71,10.81,-0.61,"279,000"
,,,,,,,
At-Tahur Ltd.(XD) ,18.17,18.25,18.25,17.9,17.95,-0.22,"62,000"
,,,,,,,
Clover Pakistan Limited. ,60.27,60.99,60.99,59.7,59.7,-0.57,"4,500"
,,,,,,,
Fauji Foods Limited. ,11.93,11.77,12,11.24,11.4,-0.53,"2,079,500"
,,,,,,,
