SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Frieslandcampina Engro Pakistan Ltd. ,70.54,70.01,70.01,67.02,67.02,-3.52,"398,500"
,,,,,,,
Gillatte Pakistan Ltd. ,158.82,160,164.99,160,164.49,5.67,500
,,,,,,,
Matco Foods Limited.(XD) ,23.72,23.99,24.47,23.56,23.7,-0.02,"265,000"
,,,,,,,
Mitchells Fruit Farms Ltd. ,214.98,225.72,225.72,225.72,225.72,10.74,"1,100"
,,,,,,,
Murree Brewery Company Ltd.(XD) ,688,679.9,700,679.9,689.97,1.97,350
,,,,,,,
National Foods Ltd.(XDXB) ,149,150,150,147,147.46,-1.54,"5,900"
,,,,,,,
Nestle Pakistan Ltd. ,"5,525.00",5525,5801.25,5525,5764.24,239.24,"1,040"
,,,,,,,
Quice Food Industries Ltd. ,3.65,3.65,3.95,3.5,3.61,-0.04,"621,000"
,,,,,,,
Rafhan Maize Products Ltd. ,"7,100.00",7200,7200,7200,7200,100,20
,,,,,,,
Shezan International Ltd.(XD) ,394.5,400,400,400,400,5.5,100
,,,,,,,
Treet Corporation Ltd. ,15.11,15.08,15.48,15,15.09,-0.02,"104,500"
,,,,,,,
Unilever Pakistan Foods Ltd. ,"6,700.00",6999.5,6999.5,6700,6999.5,299.5,100
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Baluchistan Glass Ltd. ,5.59,5.6,5.7,5.15,5.24,-0.35,"443,000"
,,,,,,,
Ghani Glass Ltd. ,40.35,40,40.11,40,40,-0.35,"10,500"
,,,,,,,
Ghani Global Glass Limited. ,6.31,6.13,6.25,6.1,6.1,-0.21,"19,500"
,,,,,,,
Ghani Value Glass Limited.(XD) ,43.37,43,43,43,43,-0.37,500
,,,,,,,
Shabbir Tiles and Ceramics Limited.(XD) ,9.95,9.9,10.05,9.61,9.69,-0.26,"100,500"
,,,,,,,
Tariq Glass.(XD) ,67.67,68,68.6,66,66.01,-1.66,"169,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Adamjee Insurance Co. Ltd.(XD) ,29.75,29.52,30.5,29.01,30.14,0.39,"37,000"
,,,,,,,
Askari Gen Insurance Co. ,19.86,18.9,20,18.9,20,0.14,"1,000"
,,,,,,,
Askari Life Assurance Company Ltd. ,7.05,7.01,7.01,7.01,7.01,-0.04,"1,000"
,,,,,,,
Cresent Star Insurance Ltd. ,1.75,1.78,1.85,1.69,1.7,-0.05,"95,000"
,,,,,,,
E. F. U. Gen Insurance Ltd. ,87.8,0,87.8,87.8,87.8,0,500
,,,,,,,
EFU Life Assurance Ltd. ,206,202.01,202.01,200.01,201.01,-4.99,200
,,,,,,,
IGI Holdings Limited. ,157,152,156,152,155,-2,"2,300"
,,,,,,,
IGI Life Insurance Ltd. ,16,16.35,16.4,15.5,15.54,-0.46,"6,000"
,,,,,,,
Pakistan General Insurance Co. [ DEFAULTER SEGMENT ],3.09,2.5,2.5,2.5,2.5,-0.59,500
,,,,,,,
Pakistan Reinsurance Comp. ,23.58,24,24,23.4,23.4,-0.18,"13,000"
,,,,,,,
PICIC Insurance Ltd. [ DEFAULTER SEGMENT ],1.2,1.25,1.25,1.11,1.24,0.04,"5,000"
,,,,,,,
Reliance Insurance. ,4.4,4.35,4.4,4.35,4.35,-0.05,"5,000"
,,,,,,,
United Insurance Company. ,7.95,7.6,8,7.52,7.99,0.04,"21,500"
,,,,,,,
Universal Insurance Company Ltd. ,3.75,3,3,3,3,-0.75,"3,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Arif Habib Limited. ,36.6,35.56,36,34.77,34.95,-1.65,"82,000"
,,,,,,,
BIPL Securities Ltd. ,8.24,9.23,9.23,8.55,8.55,0.31,"1,000"
,,,,,,,
Cyan Limited. ,22.95,22,22.75,21.9,22.75,-0.2,"1,500"
,,,,,,,
Dawood Equities Ltd. ,2.36,2.02,2.02,2.02,2.02,-0.34,"387,000"
,,,,,,,
Dawood Hercules Corporation Ltd. ,126.8,127,130,126,127.76,0.96,"43,600"
,,,,,,,
EFG Hermes Pakistan Ltd. ,10.1,10.95,10.95,10.95,10.95,0.85,500
,,,,,,,
Escorts Investment Bank Ltd. ,9.92,10,10,9.95,10,0.08,"39,000"
,,,,,,,
First Capital Sec.Corp. Ltd. ,1,0.99,1,0.9,0.9,-0.1,"160,500"
,,,,,,,
First Dawood Investment Bank Ltd. ,1.69,1.66,1.74,1.66,1.69,0,"56,000"
,,,,,,,
First National Equities Limited. ,5.09,5.44,6,5.43,5.94,0.85,"22,000"
,,,,,,,
Invest Capital Investment Bank Ltd. ,0.83,0.6,0.95,0.6,0.91,0.08,"26,000"
,,,,,,,
Jahangir Siddiqui & Company Ltd. ,9.73,9.6,10.73,9.33,10.2,0.47,"217,000"
,,,,,,,
Pakistan Stock Exchange Limited. ,9.1,9.01,9.25,8.91,9,-0.1,"85,500"
,,,,,,,
Pervez Ahmed Consultancy Services Ltd. ,0.78,0.79,0.79,0.72,0.74,-0.04,"46,500"
,,,,,,,
Trust Investment Bank Ltd. ,1,1.01,1.05,0.82,1,0,"73,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Capital Assets Leasing Corp. [ DEFAULTER SEGMENT ],4.06,4.01,4.01,4.01,4.01,-0.05,500
,,,,,,,
Orix Leasing Pakistan Ltd.(XD) ,22.08,21.81,22.08,21.8,22.08,0,"4,000"
,,,,,,,
Saudi Pak Leasing Co. [ DEFAULTER SEGMENT ],1.02,1.15,1.15,1.05,1.05,0.03,"7,500"
,,,,,,,
Security Leasing Corp. [ DEFAULTER SEGMENT ],1.6,1.6,1.61,1.6,1.61,0.01,"24,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Leather Up Ltd. ,11.69,11.9,12.47,11.9,12.47,0.78,"2,500"
,,,,,,,
Service Industries. ,632.5,625,625,605,618.99,-13.51,900
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Al-Khair Gadoon Ltd. ,8,8,8.25,8,8,0,"17,000"
,,,,,,,
ECOPAK Limited.(XDXB) ,11.55,12,12,11.75,11.75,0.2,"7,000"
,,,,,,,
Gammon Pak. ,8,0,8,8,8,0,"1,000"
,,,,,,,
Olympia Mills Limited. ,7.7,6.92,7.39,6.91,7.07,-0.63,"7,000"
,,,,,,,
Pace (Pakistan) Ltd. ,1.55,1.52,1.65,1.52,1.52,-0.03,"59,000"
,,,,,,,
Siddiqsons Tin Plate Ltd. ,10.41,10.4,10.69,10.26,10.32,-0.09,"308,000"
,,,,,,,
Synthetic Products Enterprises Ltd.(XDXB ,19.4,20,20.4,20,20.4,1,"624,500"
,,,,,,,
TPL Properties Limited. ,7.5,7.49,7.84,7.11,7.84,0.34,"3,500"
,,,,,,,
Tri-Pack Films Ltd. ,62.92,62,63,59.78,60.29,-2.63,"41,000"
,,,,,,,
United Brands Limited. ,15.55,15.9,16.45,15,16.38,0.83,"4,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
B.R.R. Guardian Modaraba.(XD) ,6.76,6.73,6.73,6.71,6.72,-0.04,"2,000"
,,,,,,,
First Elite Capital Mod. ,1.36,1.29,1.29,1.29,1.29,-0.07,500
,,,,,,,
First Equity Mod. ,2,2,2.24,2,2.04,0.04,"58,500"
,,,,,,,
First Fidelity Leasing Mod. ,4.4,4.02,4.02,4.02,4.02,-0.38,"1,000"
,,,,,,,
First Habib Mod.(XD) ,8.62,8.41,8.7,8.41,8.65,0.03,"2,500"
,,,,,,,
First National Bank Modaraba. [ DEFAULTER SEGMENT ],1.2,1,1,1,1,-0.2,"1,000"
,,,,,,,
First Pak Mod. ,1.45,1.4,1.64,1.31,1.64,0.19,"1,500"
,,,,,,,
First Prudential Mod. ,1.02,0.97,1.09,0.97,0.97,-0.05,"21,000"
,,,,,,,
First Punjab Mod. ,2.3,2.3,2.36,2.3,2.3,0,"11,500"
,,,,,,,
First UDL Mod.(XB) ,7.14,7,7,6.61,7,-0.14,"8,000"
,,,,,,,
Orient rental Modaraba.(XD) ,9,9.01,9.01,9.01,9.01,0.01,"1,500"
,,,,,,,
Orix Modaraba.(XD) ,15,14.85,15,14.75,14.77,-0.23,"8,000"
,,,,,,,
Sindh Modaraba.(XD) ,8.65,7.75,7.75,7.75,7.75,-0.9,"1,000"
,,,,,,,
Unicap Modaraba. [ DEFAULTER SEGMENT ],0.63,0.85,0.85,0.85,0.85,0.22,500
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Mari Petroleum Company Ltd.(XDXB) ,"1,015.38",1048,1048,993.01,1032.28,16.9,"9,820"
,,,,,,,
Oil & Gas Development Company Ltd.(XD) ,126.82,127,127.3,125.1,125.67,-1.15,"995,900"
,,,,,,,
Pakistan Oilfields Limited. ,373.41,375.8,376.99,371.5,375.92,2.51,"107,400"
,,,,,,,
Pakistan Petroleum Limited.(XDXB) ,112.88,112.5,114.15,111.11,112.89,0.01,"689,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Attock Petroleum Limited. ,300,303,305,298.5,299.85,-0.15,"3,000"
,,,,,,,
Burshane LPG (Pakistan) Limited.(XD) ,23.1,22.65,22.65,22.65,22.65,-0.45,500
,,,,,,,
Hascol Petroleum Ltd. ,31.66,33.24,33.24,31,33.24,1.58,"3,062,500"
,,,,,,,
Hi-Tech Lubricants Limited.(XD) ,28.15,28.11,28.8,27.75,27.96,-0.19,"247,500"
,,,,,,,
Pakistan State Oil Co Ltd.(XDXB) ,142.13,142.01,143.25,139.1,140.15,-1.98,"1,126,000"
,,,,,,,
Shell Pakistan Ltd. ,163.01,162,165.96,160.11,163.33,0.32,"49,200"
,,,,,,,
Sui Northern Gas Pipe Line Ltd. ,64.53,64.25,66.85,64.2,65.65,1.12,"1,169,000"
,,,,,,,
Sui Southern Gas Co Ltd. ,17.28,17.27,17.47,16.85,16.93,-0.35,"745,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Baluchistan Particle Board Ltd [ DEFAULTER SEGMENT ],3.09,3.1,3.2,3,3,-0.09,"5,500"
,,,,,,,
Century Paper & Board Mills. ,33.3,33.01,33.24,32.06,33.24,-0.06,"6,000"
,,,,,,,
Cherat Packaging Limited.(XDXB) ,70.45,71.99,71.99,67.1,68.41,-2.04,"63,500"
,,,,,,,
Merit Packaging Ltd. ,13.99,13.99,14.28,13.75,13.81,-0.18,"21,500"
,,,,,,,
Packages Ltd. ,290,290,300,290,292.5,2.5,"30,300"
,,,,,,,
Roshan Packages Limited. ,14.45,14.5,14.7,14.21,14.3,-0.15,"56,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Abbot Laboratories Pak Ltd. ,339.72,322.74,330,322.74,325.68,-14.04,"171,900"
,,,,,,,
AGP Limited. ,73.82,73.99,76.81,73.99,75.66,1.84,"18,000"
,,,,,,,
Ferozsons Laboratories Ltd.(XD) ,163.37,160.51,171.53,158.25,171.44,8.07,"273,800"
,,,,,,,
Glaxo SmithKline Healthcare Pak Ltd. ,259.48,255.01,265.15,250.13,256.96,-2.52,"10,000"
,,,,,,,
Glaxo SmithKline Pakistan Ltd. ,106.92,103.3,111.88,102.76,107.14,0.22,"109,800"
,,,,,,,
Highnoon Laboratories Ltd. ,370,370,370,365,368.5,-1.5,"5,100"
,,,,,,,
IBL HealthCare Limited.(XD) ,33.5,33.4,34,33,33.3,-0.2,"31,500"
,,,,,,,
Otsuka Pakistan Ltd. ,220.94,210.9,230,210,224.5,3.56,"3,100"
,,,,,,,
The Searle Company Ltd.(XD) ,157.71,157.1,161.57,155.79,157.52,-0.19,"1,482,700"
,,,,,,,
Wyeth Pakistan Limited. ,748.5,715,748,715,739.99,-8.51,350
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Altern Energy Ltd.(XD) ,23,23.25,23.25,23.1,23.1,0.1,"10,500"
,,,,,,,
Engro Powergen Qadirpur Ltd. ,22.76,22.76,23.27,22.3,22.8,0.04,"11,000"
,,,,,,,
Hub Power Company Limited. ,74.01,73.7,74.98,73.5,74.06,0.05,"406,000"
,,,,,,,
K-Electric Limited. ,3.9,3.91,3.97,3.86,3.89,-0.01,"1,153,000"
,,,,,,,
Kohinoor Energy Ltd.(XD) ,38.94,39,39,39,39,0.06,500
,,,,,,,
Kot Addu Power Company.(XD) ,32.21,32.48,32.7,31.5,31.59,-0.62,"409,000"
,,,,,,,
LALPIR Power Limited. ,11.47,11.26,11.6,11.25,11.55,0.08,"10,500"
,,,,,,,
Nishat Chunian Power Ltd. ,16.99,16.5,16.88,16.31,16.61,-0.38,"92,000"
,,,,,,,
Nishat Power Limited. ,22.59,22.95,23,22.95,22.95,0.36,"3,000"
,,,,,,,
Pakgen Power Limited. ,12.44,12.39,12.44,11.72,12.27,-0.17,"21,500"
,,,,,,,
Saif Power Ltd. ,16.7,16.7,16.7,16.7,16.7,0,500
,,,,,,,
Tri -Star Power Ltd. ,2.5,2.64,2.64,2.64,2.64,0.14,500
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Attock Refinery Limited. ,84.28,83.9,86.88,83.75,84.6,0.32,"1,146,000"
,,,,,,,
BYCO Petroleum Pak Ltd. ,6.31,6.32,6.48,6.23,6.26,-0.05,"340,000"
,,,,,,,
National Refinary Ltd. ,109.77,110.01,112.24,109.21,109.93,0.16,"370,100"
,,,,,,,
Pakistan Refinery Ltd. ,14.62,14.75,15.1,14.6,14.91,0.29,"363,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Abdullah Shaha Ghazi Suger Mills Ltd. ,3.47,3.49,3.8,3.15,3.2,-0.27,"464,500"
,,,,,,,
Adam Sugar Mills Limited. ,19.36,18.55,19.97,18.55,19.74,0.38,"3,000"
,,,,,,,
Ansari Sugar Mills Ltd. [ DEFAULTER SEGMENT ],5.8,5.4,5.67,5.25,5.61,-0.19,"59,500"
,,,,,,,
Chashma Sugar Mills Ltd ,51.21,49.52,51.42,49.01,51.39,0.18,"14,500"
,,,,,,,
Dewan Sugar Mills Ltd. [ DEFAULTER SEGMENT ],3.18,3.3,3.34,3.3,3.34,0.16,"2,000"
,,,,,,,
Faran Sugar Mills Ltd. ,42.92,45.06,45.06,45,45.06,2.14,"38,000"
,,,,,,,
Habib Sugar Mills Ltd. ,32.78,33.24,33.49,32.43,32.57,-0.21,"180,000"
,,,,,,,
Habib-ADM Limited.(XD) ,41.5,39.43,39.43,39.43,39.43,-2.07,500
,,,,,,,
Haseeb Waqas Sugar Mills Limit ,3.77,3.66,3.75,3.35,3.37,-0.4,"120,000"
,,,,,,,
Husein Sugar Mills Limited. ,20.58,19.65,20.35,19.56,19.56,-1.02,"78,000"
,,,,,,,
Imperial Sugar Limited. [ DEFAULTER SEGMENT ],17.03,16.03,17.39,16.03,17.39,0.36,"1,000"
,,,,,,,
Jauharabad Sugar Mills Ltd. ,14.5,15.38,15.5,14,15.49,0.99,"447,000"
,,,,,,,
Mirpurkhas Sugar Mills Ltd. ,77,77,80.85,77,80.8,3.8,"9,500"
,,,,,,,
Noon Sugar Mills Ltd. ,52.03,52.99,53,52,52.71,0.68,"3,500"
,,,,,,,
Sakrand Sugar Mills Ltd. ,13.92,14.79,14.85,12.92,13.22,-0.7,"644,500"
,,,,,,,
Sanghar Sugar Mills Ltd. ,24.29,23.08,24.78,23.08,23.93,-0.36,"7,500"
,,,,,,,
Shahmurad Sugar Mills Ltd. ,96.58,101.4,101.4,101.4,101.4,4.82,"1,000"
,,,,,,,
Shahtaj Suger Mills Ltd.(XD) ,43.54,45.7,45.71,45.7,45.71,2.17,"1,000"
,,,,,,,
Shakarganj Limited. ,38,39.45,39.9,37.1,39.5,1.5,"47,000"
,,,,,,,
Sindh Abadgars Sugar Mills Ltd. ,15.2,15.95,15.95,15.95,15.95,0.75,500
,,,,,,,
Thal Industries Corporation Ltd. ,218.08,220,220,220,220,1.92,200
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Tri-Star Polyester Ltd. ,7.45,7.55,7.65,7.35,7.41,-0.04,"56,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Avanceon Limited. ,35.79,36.08,36.79,35.7,36.46,0.67,"1,320,500"
,,,,,,,
Hum Network Limited. ,2.85,2.89,2.9,2.7,2.72,-0.13,"184,500"
,,,,,,,
Media Times Limited. ,0.95,0.9,1,0.9,0.93,-0.02,"20,000"
,,,,,,,
NetSol Technologies Ltd.(XD) ,62.47,62.01,63.5,61.8,62.01,-0.46,"141,500"
,,,,,,,
Pak Datacom Limited. ,39.98,38.51,38.51,37.99,37.99,-1.99,"4,000"
,,,,,,,
Pakistan Telecommunication Co. ,7.62,7.55,7.8,7.52,7.56,-0.06,"539,500"
,,,,,,,
Systems Limited. ,88.21,87.75,89,87.5,88.57,0.36,"7,000"
,,,,,,,
Telecard Ltd. ,1.47,1.5,1.5,1.42,1.49,0.02,"67,000"
,,,,,,,
TPL CORP Limited. ,3.81,3.85,3.85,3.61,3.81,0,"373,500"
,,,,,,,
TRG Pakistan Ltd. ,16.16,16.14,16.64,15.9,16.06,-0.1,"5,346,000"
,,,,,,,
Worldcall Telecom Ltd. ,1.06,1.06,1.13,1.04,1.07,0.01,"1,029,500"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Artistic Denim Mills Limited.(XD) ,60,59.79,63,59.5,63,3,"5,500"
,,,,,,,
Azgard Nine Limited ,11.25,11.35,11.7,11.12,11.4,0.15,"780,000"
,,,,,,,
Bleesed Textile Ltd.(XD) ,250.57,254.99,254.99,254.99,254.99,4.42,200
,,,,,,,
Crescent Textile Mills Ltd.(XD) ,24.39,23.2,25,23.2,25,0.61,"1,000"
,,,,,,,
Ghazi Fabrics International Ltd. ,4,4,4,4,4,0,"2,500"
,,,,,,,
Gul Ahmed Textile Mills Ltd.(XDXB) ,38.91,38.75,39.48,38,38.39,-0.52,"546,500"
,,,,,,,
Hala Enterprises Limited ,5.5,6.49,6.49,6.49,6.49,0.99,500
,,,,,,,
Interloop Limited.(XD) ,46.79,47.24,47,46.21,46.29,-0.5,"261,500"
,,,,,,,
International Knitwear Ltd.(XD) ,10.69,10.5,11.69,10.5,11.69,1,"12,500"
,,,,,,,
Kohinoor Industries Ltd. ,3.11,3.13,3.22,3,3.03,-0.08,"44,000"
,,,,,,,
Kohinoor Textile Mills Ltd.(XD) ,29.45,29.9,29.9,28.52,28.95,-0.5,"115,000"
,,,,,,,
Masood Textile Mills Ltd.(XD) ,57.75,60.6,60.63,60.6,60.6,2.85,"1,000"
,,,,,,,
Nishat (Chunia) Ltd. ,37.93,37.9,38.6,37.8,38.56,0.63,"920,500"
,,,,,,,
Nishat Mills Ltd.(XD) ,86.89,87.5,89,85.17,85.91,-0.98,"762,700"
,,,,,,,
Redco Textile Ltd. ,4.4,4.6,4.88,4.5,4.51,0.11,"141,500"
,,,,,,,
Reliance Weaving Mills Ltd.(XD) ,28.5,28.5,29.5,28.5,29.5,1,"4,500"
,,,,,,,
Sapphire Fibres Mills Ltd.(XDXR) ,670.48,704,704,704,704,33.52,50
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Amtex Limited. [ DEFAULTER SEGMENT ],0.88,0.9,0.93,0.87,0.88,0,"75,000"
,,,,,,,
Asim Textile Mills Ltd. ,7.45,8.45,8.45,7.8,7.95,0.5,"416,500"
,,,,,,,
Babri Cotton Mills Ltd. ,63.96,67.15,67.15,67.15,67.15,3.19,"1,000"
,,,,,,,
Bilal Fibres Ltd. [ DEFAULTER SEGMENT ],1.61,1.62,1.81,1.6,1.62,0.01,"239,000"
,,,,,,,
Chakwal Spinning Mills Limited. ,1.74,1.66,1.74,1.66,1.74,0,"15,500"
,,,,,,,
Colony Textile Mills Ltd. ,3.52,3.5,3.58,3.4,3.43,-0.09,"17,000"
,,,,,,,
D. S. Industries Ltd. ,1.92,1.91,1.98,1.85,1.86,-0.06,"122,500"
,,,,,,,
Dewan Farooque Spinning Mills Ltd. ,1.6,1.5,1.62,1.56,1.56,-0.04,"2,000"
,,,,,,,
Fazal Cloth Mills Ltd.(XD) ,134.5,0,134.5,134.5,134.5,0,"1,500"
,,,,,,,
Gadoon Textile Mills Ltd. ,149.9,143.25,150,143.25,147.48,-2.42,"2,800"
,,,,,,,
Hira Textile Mills Ltd. ,3.65,3.8,4,3.7,3.75,0.1,"160,000"
,,,,,,,
Janana De Malucha Tex Mills. ,66,65,65,65,65,-1,500
,,,,,,,
Khurshid Spinning Mills Ltd. [ DEFAULTER SEGMENT ],4,0,4,4,4,0,500
,,,,,,,
Kohinoor Spinning Mills Ltd. ,1.58,1.55,1.63,1.54,1.58,0,"62,000"
,,,,,,,
Landmark Spinning Mills Limite [ DEFAULTER SEGMENT ],7.5,7.5,7.5,7.5,7.5,0,500
,,,,,,,
Premium Textile Mills Ltd.(XD) ,216.6,225.99,225.99,210.01,211.01,-5.59,"1,000"
,,,,,,,
Ravi Textile Mills Ltd. [ DEFAULTER SEGMENT ],3.11,3.05,3.05,3,3,-0.11,"2,500"
,,,,,,,
Ruby Textile Mills Ltd. ,4.1,3.82,4.09,3.82,4.09,-0.01,"3,000"
,,,,,,,
Sajjad Textile Mills Ltd. [ DEFAULTER SEGMENT ],6.68,7.6,7.6,6.68,7.6,0.92,"1,000"
,,,,,,,
Saritow Spinning Mills Ltd. ,4.87,4.75,4.75,4.4,4.49,-0.38,"67,500"
,,,,,,,
Service Textile Mills Ltd.(XD) ,9.85,0,9.85,9.85,9.85,0,"1,000"
,,,,,,,
Shadab Textile Mills Ltd.(XDXR) ,30.03,31.4,31.53,28.53,28.58,-1.45,"172,000"
,,,,,,,
Shahzad Textile Mills Ltd.(XD) ,28.5,0,28.5,28.5,28.5,0,"1,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Samin Textiles Ltd. ,3.6,3.41,3.8,3.34,3.5,-0.1,"3,500"
,,,,,,,
Service Fabrics Ltd. ,2.2,2.25,2.25,2.25,2.25,0.05,"1,000"
,,,,,,,
Yousuf Weaving Mills Limited. ,2.58,2.7,2.76,2.51,2.61,0.03,"91,000"
,,,,,,,
Zephyr Textile Limited.(XD) ,6.4,6.6,6.6,6.6,6.6,0.2,500
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Khyber Tobacco Co. Ltd. ,186.75,186.01,196.08,186,196.07,9.32,"1,700"
,,,,,,,
Pakistan Tobacco Co Ltd. ,"2,399.00",2300,2300,2300,2300,-99,20
,,,,,,,
Philip Morris (Pakistan)Ltd. ,"3,050.00",2897.5,2897.5,2897.5,2897.5,-152.5,40
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Pak International Airline Corp Ltd [ DEFAULTER SEGMENT ],6.03,6,6.05,5.82,5.93,-0.1,"688,000"
,,,,,,,
Pakistan Int.Container Terminal. ,162.96,162.01,162.01,157,158.34,-4.62,"1,700"
,,,,,,,
Pakistan Intl. Bulk Terminal Ltd. ,9,9.01,9.23,8.86,9.04,0.04,"2,829,000"
,,,,,,,
Pakistan National Shipping Co.(XD) ,66,64.21,66,64.21,65.95,-0.05,"15,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Punjab Oil Mills Ltd.(XD) ,169.91,0,169.91,169.91,169.91,0,100
,,,,,,,
S .S . Oil Mills Ltd. ,21.5,20.6,20.6,20.6,20.6,-0.9,500
,,,,,,,
Unity Foods Limited.(XD) ,10.71,10.71,10.87,10.31,10.4,-0.31,"4,070,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Bannu Woollen Mills Limited. ,34.73,33,33,33,33,-1.73,500
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Dolmen City REIT. ,11,11,11.1,11,11.04,0.04,"121,000"
,,,,,,,
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Amreli Steels Limited. ,26.48,26.4,27.15,26.2,26.46,-0.02,"1,557,000"
,,,,,,,
Attock Refinery Limited. ,84.63,84.99,87,84.1,84.94,0.31,"1,431,000"
,,,,,,,
Bank Of Punjab. ,9.74,9.77,10.1,9.74,9.84,0.1,"3,832,500"
,,,,,,,
Cherat Cement Co. Ltd. ,32.22,32,32.73,31.7,32.08,-0.14,"397,500"
,,,,,,,
D. G. Khan Cement Co. Ltd. ,56.07,56.1,57.85,55.82,56.28,0.21,"4,369,500"
,,,,,,,
Descon Oxychem Ltd. ,15.1,15.1,15.3,14.6,14.74,-0.36,"621,500"
,,,,,,,
Engro Corporation Limited. ,279.84,279.15,288.5,279.01,287.5,7.66,"352,500"
,,,,,,,
Engro Fertilizers Limited. ,69.17,69.35,72.62,69.35,72.03,2.86,"994,000"
,,,,,,,
Engro Polymer & Chemicals Ltd. ,27.79,27.94,28,27.6,27.72,-0.07,"384,000"
,,,,,,,
Fauji Cement Co Ltd. ,15.07,15.19,15.35,14.9,14.93,-0.14,"926,500"
,,,,,,,
Fauji Fertilizer Bin Qasim Ltd. ,18.54,18.64,18.75,18.01,18.11,-0.43,"294,500"
,,,,,,,
Fauji Fertilizer Co. Ltd. ,95.8,95.98,97.9,95.8,96.5,0.7,"40,000"
,,,,,,,
Fauji Foods Limited. ,11.93,11.85,12.04,11.21,11.48,-0.45,"1,666,500"
,,,,,,,
Frieslandcampina Engro Pakistan Ltd. ,70.71,70.6,70.6,67.18,67.18,-3.53,"343,500"
,,,,,,,
General Tyre & Rubber Co. ,43.44,43.6,43.65,42.2,42.7,-0.74,"71,000"
,,,,,,,
Ghandhara Industries Ltd. ,76.16,76,77.25,75,75.14,-1.02,"78,500"
,,,,,,,
Gul Ahmed Textile Mills Ltd. ,38.94,38.5,39.4,38,38.56,-0.38,"92,500"
,,,,,,,
Habib Bank Limited ,130.8,129.4,132.5,127.5,129.49,-1.31,"98,500"
