SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
,,,,,,,
Hascol Petroleum Ltd. ,30.67,32.2,32.2,29.7,32,1.33,"9,255,000"
,,,,,,,
Hub Power Company Limited. ,73.96,74,74.73,74,74.43,0.47,"27,500"
,,,,,,,
International Industries Ltd. ,80.19,80.6,81.92,76.19,76.19,-4,"966,500"
,,,,,,,
International Steels Limited. ,42.94,42.79,43.75,42.75,43.08,0.14,"1,996,000"
,,,,,,,
K-Electric Limited. ,3.91,3.91,4,3.88,3.89,-0.02,"177,000"
,,,,,,,
Kohat Cement Co. Ltd. ,54,54,54,53.5,53.5,-0.5,"4,000"
,,,,,,,
Kot Addu Power Company. ,32.35,31.76,32,31.55,31.71,-0.64,"11,000"
,,,,,,,
Lotte Chemical Pakistan Ltd. ,16.68,16.61,16.61,16.08,16.14,-0.54,"8,979,000"
,,,,,,,
Lucky Cement Limited. ,364.04,365,371.99,364.1,365.94,1.9,"782,000"
,,,,,,,
Maple Leaf Cement Factory Ltd. ,16.92,16.85,17.28,16.8,16.86,-0.06,"2,007,000"
,,,,,,,
MCB Bank Limited. ,169.43,169.43,169.99,169.43,169.99,0.56,"1,500"
,,,,,,,
Mughal Iron & Steels Ind Ltd. ,29.87,29.5,30.3,29.25,29.6,-0.27,"255,000"
,,,,,,,
National Bank Of Pakistan. ,34.78,34.66,35.22,33.65,34.1,-0.68,"185,000"
,,,,,,,
National Refinary Ltd. ,109.58,109,112,109,109.83,0.25,"349,000"
,,,,,,,
NetSol Technologies Ltd. ,62.78,62.25,63.5,62.01,62.07,-0.71,"61,000"
,,,,,,,
Nishat (Chunia) Ltd. ,37.85,38,38.75,38,38.46,0.61,"139,500"
,,,,,,,
Nishat Mills Ltd. ,86.25,86.5,87,85.5,85.53,-0.72,"189,500"
,,,,,,,
Oil & Gas Development Company Ltd. ,127.03,126.5,127.4,125.5,125.87,-1.16,"164,000"
,,,,,,,
Pak Elektron Ltd. ,18.96,18.82,19.24,18.24,18.36,-0.6,"2,638,500"
,,,,,,,
Pak Suzuki Motors Co Ltd. ,157.67,156.5,158.8,155.01,156.5,-1.17,"16,500"
,,,,,,,
Pakistan Intl. Bulk Terminal Ltd. ,9.04,9,9.29,8.9,9.06,0.02,"636,500"
,,,,,,,
Pakistan Oilfields Limited. ,375.95,375.1,376.5,374.06,376.5,0.55,"3,500"
,,,,,,,
Pakistan Petroleum Limited. ,113.14,112.7,114.3,112,113.22,0.08,"364,000"
,,,,,,,
Pakistan State Oil Co Ltd. ,142.08,141.5,143.5,139.5,140.65,-1.43,"670,500"
,,,,,,,
Pioneer Cement Ltd. ,23.65,23.5,24.05,23.4,23.52,-0.13,"204,500"
,,,,,,,
Sui Southern Gas Co Ltd. ,17.33,17.29,17.6,16.9,16.98,-0.35,"151,000"
,,,,,,,
The Searle Company Ltd. ,158.2,158.01,161.85,156,157.97,-0.23,"1,878,000"
,,,,,,,
TRG Pakistan Ltd. ,16.21,16.12,16.67,15.95,16.1,-0.11,"7,137,500"
,,,,,,,
United Bank Ltd. ,141.33,141,142.1,140,141.84,0.51,"43,500"
,,,,,,,
Unity Foods Limited. ,10.76,10.87,10.87,10.36,10.45,-0.31,"2,696,000"
Al-Ghazi Tractors Limited. ,385.33,390.00,392.50,390.00,392.00,  6.67,"1,600"
Dewan Farooque Motors Limited [ DEFAULTER SEGMENT ],7.02,7.10,7.75,6.96,7.65,  0.63,"298,500"
Ghandhara Industries Ltd. ,95.37,97.50,100.13,96.53,99.65,  4.28,"792,600"
Ghani Automobile Industries Ltd. ,4.81,4.81,5.15,4.81,5.08,  0.27,"134,500"
Hino Pak Motor Limeted. ,493.15,494.50,496.00,494.50,496.00,  2.85,200
Honda Atlas Cars (Pak) Ltd. ,175.30,175.00,184.06,173.12,184.06,  8.76,"189,600"
Indus Motor Company Ltd.(XD) ,"1,216.92",1224.50,1230.00,1224.50,1225.00,  8.08,680
Millat Tractors Limited. ,691.17,690.00,694.00,685.00,688.00,  -3.17,"34,900"
Pak Suzuki Motors Co Ltd. ,187.09,185.00,196.44,184.85,196.44,  9.35,"72,400"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Atlas Battery Ltd. ,129.83,135.00,136.32,135.00,136.32,  6.49,"29,300"
Exide Pakistan Ltd. ,245.29,254.99,257.55,254.99,257.55,  12.26,"3,500"
General Tyre & Rubber Co.(XB) ,58.62,59.00,61.00,57.75,60.30,  1.68,"727,000"
Loads Limited. ,15.23,15.65,16.23,15.22,16.23,  1.00,"229,500"
Thal Limited.(XD) ,335.50,325.50,332.15,325.50,329.99,  -5.51,"53,300"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Pak Elektron Ltd. ,23.49,23.75,24.50,23.46,24.36,  0.87,"9,493,500"
Pakistan Cables Ltd. ,137.67,135.00,144.55,135.00,144.55,  6.88,"13,100"
WAVES Singer Pakistan Ltd. ,26.14,26.10,26.75,26.00,26.50,  0.36,"192,500"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Cement Pak Ltd. ,96.02,96.00,98.00,96.00,96.75,  0.73,"12,000"
Bestway Cement Limited.(XD) ,107.48,109.48,109.48,108.00,108.99,  1.51,"2,100"
Cherat Cement Co. Ltd. ,47.86,47.99,50.20,47.60,50.00,  2.14,"1,350,500"
D. G. Khan Cement Co. Ltd. ,70.46,70.60,71.75,69.30,70.91,  0.45,"3,984,500"
Dandot Cement Co. Ltd. ,12.87,11.87,12.00,11.87,12.00,  -0.87,"6,000"
Dewan Cement Limited. ,8.23,8.25,8.35,8.11,8.30,  0.07,"486,500"
Fauji Cement Co Ltd. ,15.88,15.67,16.09,15.60,15.96,  0.08,"2,289,000"
Fecto Cement Ltd. ,24.72,24.75,25.89,24.72,25.45,  0.73,"16,500"
Gharibwal Cement Ltd. ,12.83,13.83,13.83,13.50,13.83,  1.00,"545,000"
Kohat Cement Co. Ltd. ,80.29,80.30,82.00,77.60,81.00,  0.71,"192,500"
Lucky Cement Limited. ,399.87,398.00,414.44,394.25,409.50,  9.63,"606,000"
Maple Leaf Cement Factory Ltd. ,19.34,19.31,19.72,19.05,19.45,  0.11,"1,709,000"
Maple Leaf Cement Factory Ltd.(R) ,7.10,6.99,7.19,6.61,6.92,  -0.18,"2,039,500"
Pioneer Cement Ltd. ,31.69,31.98,33.27,31.22,32.65,  0.96,"2,203,500"
Power cement Limited ,5.90,5.95,5.95,5.80,5.94,  0.04,"582,000"
Thatta Cement Company Ltd. ,10.10,10.10,10.70,10.10,10.54,  0.44,"29,500"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agritech Limited ,3.38,3.46,3.46,3.36,3.45,  0.07,"316,000"
Akzo Nobel Pakistan Limited. ,137.49,141.26,144.36,140.26,144.36,  6.87,"272,700"
Archroma Pakistan Limited. ,588.00,599.00,605.00,598.90,605.00,  17.00,"5,000"
Berger Paints Pakistan Ltd. ,73.38,76.00,77.04,76.00,77.04,  3.66,"28,000"
Bifo Industries Ltd.(XD) ,163.82,164.90,169.40,164.63,167.00,  3.18,"35,400"
Buxly Paints Ltd. ,43.89,42.00,45.98,41.70,41.70,  -2.19,"368,000"
Colgate Palmolive (Pak) Ltd. ,"1,939.98",1939.98,1969.99,1939.98,1969.00,  29.02,60
Data Agro Limited ,10.80,0.0,0,0,11.49,  0.0,"3,000"
Descon Oxychem Ltd. ,18.39,18.40,18.70,18.40,18.48,  0.09,"431,500"
DYNEA Pak. ,100.00,100.00,102.00,100.00,102.00,  2.00,"5,500"
Engro Polymer & Chemicals Ltd.(XD) ,30.49,30.49,31.28,29.94,31.00,  0.51,"1,345,000"
Ghani Global Holdings Limited. ,11.36,11.50,12.10,11.36,11.95,  0.59,"839,000"
ICI Pakistan Limited. ,536.66,539.90,562.00,539.90,555.01,  18.35,"197,050"
Ittehad Chemical Ltd. ,21.00,21.20,21.74,21.20,21.50,  0.50,"92,000"
Lotte Chemical Pakistan Ltd.(XD) ,14.72,14.75,14.84,14.66,14.75,  0.03,"826,500"
Nimir Industrial Chemical Ltd. ,57.00,57.00,58.00,56.00,57.40,  0.40,"2,000"
Nimir Resins Limited. ,6.96,6.90,7.14,6.87,7.01,  0.05,"155,500"
Pakistan Oxygen Limited. ,151.50,155.50,157.50,155.50,157.50,  6.00,"1,000"
Sitara Chemicals. ,237.88,237.88,240.00,237.88,239.90,  2.02,800
Sitara Peroxide Limited ,18.04,18.25,18.64,18.25,18.50,  0.46,"74,500"
Wah Noble Chemicals Ltd. ,225.00,220.00,220.00,220.00,220.00,  -5.00,100
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Tri - Star Mutual Fund Ltd. ,3.77,3.16,3.16,3.16,3.16,  -0.61,"1,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Askari Bank Limited. ,18.00,17.95,18.18,17.91,18.04,  0.04,"221,000"
Bank Al-Habib Ltd. ,73.91,74.50,75.71,73.60,73.98,  0.07,"142,500"
Bank Alfalah Ltd. ,44.34,44.34,44.34,43.50,43.99,  -0.35,"1,120,000"
Bank Of Punjab. ,11.13,10.97,11.35,10.97,11.15,  0.02,"4,859,500"
Bankislami Pakistan Ltd. ,10.99,11.00,11.00,10.80,10.80,  -0.19,"4,500"
Faysal Bank Limited. ,18.26,18.40,18.55,18.14,18.50,  0.24,"29,000"
Habib Bank Limited.(XD) ,137.90,137.90,139.00,137.01,138.56,  0.66,"108,600"
Habib Metropolitn Bank Limited. ,33.75,0.0,0,0,33.94,  0.0,"2,000"
JS Bank Limited. ,5.49,5.50,5.50,5.33,5.40,  -0.09,"67,000"
MCB Bank Limited. ,191.38,192.90,192.90,189.80,192.00,  0.62,"26,100"
Meezan Bank Limited. ,83.28,84.49,84.50,82.75,84.00,  0.72,"151,500"
National Bank Of Pakistan. ,40.24,40.45,41.70,39.99,41.00,  0.76,"1,038,500"
Silk Bank Limited. ,1.00,1.01,1.03,0.95,1.00,  0.00,"289,000"
Summit Bank Limited. ,1.30,1.30,1.44,1.26,1.26,  -0.04,"179,500"
United Bank Ltd. ,150.10,150.94,151.99,149.51,151.00,  0.90,"275,100"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Aisha Steel Mills Limited. ,10.27,10.49,10.49,10.01,10.25,  -0.02,"696,500"
Amreli Steels Limited. ,38.93,39.35,39.50,38.25,38.60,  -0.33,"1,581,500"
Bolan Casting Ltd. ,52.00,53.90,54.60,53.90,54.60,  2.60,"13,500"
Crescent Steel & Allied Product. ,48.81,49.30,49.75,49.20,49.51,  0.70,"25,500"
Dost Steels Ltd. [ DEFAULTER SEGMENT ],5.57,5.58,5.58,5.41,5.50,  -0.07,"462,500"
Drekkar Kingsway Ltd. [ DEFAULTER SEGMENT ],2.24,2.10,2.10,2.10,2.10,  -0.14,500
Huffaz Seamless Pipe Industrie. [ DEFAULTER SEGMENT ],17.90,18.69,18.69,16.90,16.90,  -1.00,"26,000"
International Industries Ltd. ,94.21,95.24,97.00,93.98,96.00,  1.79,"421,500"
International Steels Limited. ,53.16,52.70,52.81,51.30,52.30,  -0.86,"2,421,500"
Ittefaq Iron Industries Limited. ,10.66,10.80,10.89,10.07,10.23,  -0.43,"4,550,000"
KSB Pumps Co Ltd. ,128.34,134.75,134.75,134.75,134.75,  6.41,100
Mughal Iron & Steels Ind Ltd.(XD) ,42.31,42.50,42.70,41.74,42.26,  -0.05,"436,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Engro Corporation Limited. ,331.56,329.15,338.00,329.15,332.55,  0.99,"205,700"
Engro Fertilizers Limited.(XD) ,70.49,70.64,71.38,70.40,70.80,  0.31,"705,500"
Fatima Fertilizer Co Ltd. ,26.99,26.99,27.30,26.66,27.00,  0.01,"20,000"
Fauji Fertilizer Bin Qasim Ltd. ,19.54,19.59,20.04,19.25,19.84,  0.30,"1,095,000"
Fauji Fertilizer Co. Ltd. ,101.80,101.99,103.25,101.05,102.50,  0.70,"808,500"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Al-Shaheer Corporation. ,14.69,14.88,15.69,14.80,15.69,  1.00,"1,056,000"
At-Tahur Ltd.(XB) ,18.40,18.10,19.10,18.10,19.00,  0.60,"74,500"
Clover Pakistan Limited. ,94.27,98.98,98.98,98.98,98.98,  4.71,"7,000"
Fauji Foods Limited. ,11.59,11.70,12.47,11.66,12.20,  0.61,"7,795,000"
Frieslandcampina Engro Pakistan Ltd. ,68.50,67.50,69.70,67.50,68.15,  -0.35,"35,000"
Gillatte Pakistan Ltd. ,159.99,163.99,164.00,163.99,164.00,  4.01,400
Matco Foods Limited. ,24.63,24.99,25.40,24.80,24.92,  0.29,"312,500"
National Foods Ltd. ,213.74,212.00,220.10,212.00,218.00,  4.26,"32,200"
Nestle Pakistan Ltd.(XD) ,"6,398.00",6101.20,6389.98,6101.20,6389.98,  -8.02,60
Quice Food Industries Ltd. ,3.59,3.59,3.62,3.51,3.56,  -0.03,"41,000"
Shield Corporation Ltd. ,218.33,216.50,216.50,216.50,216.50,  -1.83,300
Treet Corporation Ltd. ,19.50,20.10,20.50,20.10,20.50,  1.00,"163,000"
Unilever Pakistan Foods Ltd.(XD) ,"6,900.00",7245.00,7245.00,7245.00,7245.00,  345.00,20
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Baluchistan Glass Ltd. ,5.75,5.63,5.82,5.61,5.65,  -0.10,"73,500"
Ghani Glass Ltd. ,51.00,51.05,51.05,50.31,50.50,  -0.50,"18,500"
Ghani Global Glass Limited. ,13.97,14.12,14.90,13.80,14.50,  0.53,"480,500"
Ghani Value Glass Limited. ,60.22,61.48,61.48,60.00,60.00,  -0.22,"32,000"
Shabbir Tiles and Ceramics Limited. ,11.06,11.15,11.30,10.75,11.10,  0.04,"87,000"
Tariq Glass. ,75.72,75.99,78.99,75.50,77.52,  2.28,"95,500"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Atlas Insurance Limited. ,58.05,60.85,60.85,60.85,60.85,  2.80,500
Century Insurance Co.Ltd. ,16.00,15.99,16.00,15.99,16.00,  0.00,"3,500"
Cresent Star Insurance Ltd. ,1.82,1.88,1.88,1.88,1.88,  0.06,"1,000"
E. F. U. Gen Insurance Ltd. ,90.00,90.00,90.00,90.00,90.00,  0.00,500
EFU Life Assurance Ltd. ,198.02,196.01,196.01,196.01,196.01,  -2.01,100
IGI Holdings Limited. ,159.34,159.00,159.00,158.00,158.00,  -1.34,400
Pakistan Reinsurance Comp. ,29.98,30.10,30.50,30.00,30.00,  0.02,"114,000"
PICIC Insurance Ltd. [ DEFAULTER SEGMENT ],1.17,1.15,1.17,1.08,1.17,  0.00,"6,500"
Reliance Insurance. ,4.80,4.60,4.97,4.50,4.97,  0.17,"2,500"
Shaheen Insurance Co Ltd. ,3.75,4.05,4.35,4.00,4.00,  0.25,"44,000"
United Insurance Company. ,9.00,9.09,9.09,8.70,8.70,  -0.30,"1,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Arif Habib Limited. ,45.25,46.80,47.51,46.75,47.51,  2.26,"48,500"
Cyan Limited. ,32.41,31.25,34.03,31.25,34.03,  1.62,"11,000"
Dawood Equities Ltd. ,3.78,4.27,4.27,4.19,4.19,  0.41,"18,500"
EFG Hermes Pakistan Ltd. ,14.16,13.30,13.30,13.30,13.30,  -0.86,"1,000"
Escorts Investment Bank Ltd. ,12.38,12.26,13.35,12.20,13.15,  0.77,"298,500"
First Capital Sec.Corp. Ltd. ,1.26,1.34,1.35,1.27,1.34,  0.08,"163,000"
First Credit & Investment Bank Ltd. ,3.60,3.50,3.50,3.50,3.50,  -0.10,500
First Dawood Investment Bank Ltd. ,1.82,1.85,1.85,1.78,1.80,  -0.02,"12,000"
First National Equities Limited. ,14.96,15.50,15.96,15.26,15.65,  0.69,"336,500"
Invest Capital Investment Bank Ltd. ,0.89,0.92,0.92,0.90,0.90,  0.01,"6,000"
Jahangir Siddiqui & Company Ltd. ,11.39,11.60,11.90,11.60,11.85,  0.46,"467,000"
JS Global Capital Limited. ,69.82,73.31,73.31,73.31,73.31,  3.49,"1,000"
Pakistan Stock Exchange Limited. ,12.16,12.25,12.99,11.95,12.69,  0.53,"7,089,500"
Pervez Ahmed Consultancy Services Ltd. ,0.93,0.95,0.97,0.91,0.96,  0.03,"184,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Orix Leasing Pakistan Ltd. ,24.98,24.99,25.00,24.50,25.00,  0.02,"27,000"
Saudi Pak Leasing Co. [ DEFAULTER SEGMENT ],0.95,0.90,0.90,0.90,0.90,  -0.05,500
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bata Pakistan Ltd.(XD) ,"1,680.00",1681.20,1700.00,1651.00,1690.00,  10.00,"1,460"
Leather Up Ltd. ,11.78,11.10,12.78,11.10,12.78,  1.00,"4,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
ECOPAK Limited. ,14.32,14.49,14.65,14.05,14.30,  -0.02,"47,000"
Gammon Pak. ,9.49,9.50,10.49,9.50,10.49,  1.00,"88,500"
Olympia Mills Limited. [ DEFAULTER SEGMENT ],6.93,6.81,6.81,6.80,6.80,  -0.13,"1,500"
Pace (Pakistan) Ltd. ,2.15,2.27,2.27,2.10,2.18,  0.03,"76,000"
Pakistan Hotels Developers Ltd. ,161.50,161.15,161.15,153.43,153.43,  -8.07,600
Shifa Int. Hospital Ltd. ,239.00,235.00,235.00,235.00,235.00,  -4.00,100
Siddiqsons Tin Plate Ltd. ,14.70,14.60,14.84,14.45,14.65,  -0.05,"255,500"
Synthetic Products Enterprises Ltd.(XB ,32.47,33.35,33.50,32.45,32.50,  0.03,"90,500"
TPL Properties Limited. ,6.91,6.85,7.00,6.85,7.00,  0.09,"1,500"
Tri-Pack Films Ltd. ,70.94,71.50,74.00,71.00,73.00,  2.06,"76,000"
United Brands Limited. ,18.40,18.97,19.00,17.61,18.80,  0.40,"23,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Allied Rental Modaraba. ,11.97,11.50,11.50,11.50,11.50,  -0.47,"1,000"
Awwal Modaraba. ,10.25,10.25,10.25,10.25,10.25,  0.00,"1,000"
B.R.R. Guardian Modaraba.(XD) ,8.74,8.97,8.97,7.80,7.80,  -0.94,"5,000"
First Elite Capital Mod. ,1.90,1.98,1.98,1.98,1.98,  0.08,500
First Equity Mod. ,2.59,2.50,2.50,2.50,2.50,  -0.09,"15,500"
First Habib Mod. ,8.65,8.55,8.55,8.55,8.55,  -0.10,"1,000"
First Prudential Mod. ,1.15,1.19,1.19,1.05,1.10,  -0.05,"91,000"
First Punjab Mod. ,2.49,2.69,2.69,2.55,2.55,  0.06,"1,500"
KASB Modaraba. ,0.81,0.78,0.81,0.78,0.81,  0.00,"6,000"
Orient rental Modaraba. ,8.25,8.05,8.05,8.05,8.05,  -0.20,"1,000"
Popular Islamic Madaraba ,4.26,3.30,3.30,3.30,3.30,  -0.96,500
Trust Mod. ,2.00,2.00,2.00,2.00,2.00,  0.00,"1,500"
Unicap Modaraba. [ DEFAULTER SEGMENT ],0.59,0.67,0.67,0.67,0.67,  0.08,500
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Mari Petroleum Company Ltd. ,"1,242.94",1245.00,1250.00,1238.00,1250.00,  7.06,"6,880"
Oil & Gas Development Company Ltd. ,133.66,136.25,137.00,133.76,133.76,  0.10,"3,151,300"
Pakistan Oilfields Limited. ,409.68,413.00,414.00,409.00,413.00,  3.32,"100,700"
Pakistan Petroleum Limited.(XB) ,123.02,124.35,124.40,122.50,123.01,  -0.01,"715,600"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Petroleum Limited. ,345.16,346.00,350.10,346.00,350.00,  4.84,"21,500"
Burshane LPG (Pakistan) Limited. ,28.30,29.64,29.71,28.06,29.00,  1.41,"15,500"
Hascol Petroleum Ltd.(XR) ,22.51,23.63,23.63,23.63,23.63,  1.12,"11,500"
Hi-Tech Lubricants Limited. ,31.00,31.00,31.49,30.21,31.20,  0.20,"65,500"
Pakistan State Oil Co Ltd.(XB) ,183.11,184.00,184.90,180.89,183.00,  -0.11,"1,281,800"
Shell Pakistan Ltd. ,181.75,181.25,190.83,181.00,188.20,  6.45,"59,600"
Sui Northern Gas Pipe Line Ltd. ,76.12,76.98,77.10,75.60,76.50,  0.38,"704,500"
Sui Southern Gas Co Ltd. ,19.54,19.65,20.05,19.35,19.95,  0.41,"1,775,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Century Paper & Board Mills. ,41.19,43.20,43.20,40.60,42.00,  0.81,"17,000"
Cherat Packaging Limited. ,103.37,104.01,108.53,104.00,108.53,  5.16,"42,000"
Merit Packaging Ltd. ,14.52,14.50,15.52,14.50,15.45,  0.89,"293,000"
Packages Ltd. ,344.27,359.98,359.98,345.00,353.98,  9.71,"17,200"
Roshan Packages Limited. ,18.18,18.49,19.18,18.32,19.18,  1.00,"450,500"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Abbott Laboratories Pak Ltd. ,406.52,419.00,423.00,407.00,420.00,  15.48,"10,600"
AGP Limited. ,83.54,81.22,86.89,81.00,86.00,  2.46,"62,500"
Ferozsons Laboratories Ltd. ,196.87,199.00,205.00,196.00,202.60,  5.73,"239,700"
Glaxo SmithKline Healthcare Pak Ltd. ,290.31,289.00,293.99,286.00,293.99,  3.68,"1,800"
Glaxo SmithKline Pakistan Ltd. ,154.94,155.00,161.50,154.00,160.00,  5.06,"657,200"
Highnoon Laboratories Ltd. ,524.17,538.89,550.37,532.00,550.37,  26.20,"11,700"
IBL HealthCare Limited. ,51.15,52.70,53.70,52.35,53.70,  2.55,"16,500"
Macter International Limited. ,83.00,85.00,85.00,85.00,85.00,  2.00,500
The Searle Company Ltd. ,183.02,184.00,185.98,180.99,184.00,  0.98,"616,500"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Engro Powergen Qadirpur Ltd. ,25.25,25.50,25.50,25.05,25.05,  -0.20,"18,000"
Hub Power Company Limited. ,88.82,88.70,89.85,87.68,89.26,  0.44,"446,000"
K-Electric Limited. ,4.10,4.10,4.15,4.04,4.09,  -0.01,"3,419,500"
Kohinoor Power Co Ltd. [ DEFAULTER SEGMENT ],2.55,2.50,2.50,2.50,2.50,  -0.05,"1,500"
Kot Addu Power Company. ,34.88,34.80,35.04,34.37,34.93,  0.05,"185,000"
LALPIR Power Limited. ,13.35,13.20,13.39,13.20,13.39,  0.04,"91,500"
Nishat Chunian Power Ltd. ,18.94,18.80,19.00,18.80,19.00,  0.06,"17,000"
Nishat Power Limited. ,27.51,27.50,28.50,27.50,28.00,  0.49,"18,000"
Pakgen Power Limited. ,16.35,16.02,16.25,16.02,16.25,  -0.10,"6,000"
Tri -Star Power Ltd. ,3.20,3.04,3.21,3.04,3.21,  0.01,"2,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Refinery Limited. ,104.41,104.50,107.00,103.00,106.01,  1.60,"817,000"
BYCO Petroleum Pak Ltd. ,7.34,7.36,7.53,7.34,7.46,  0.12,"438,000"
National Refinary Ltd. ,122.45,122.50,124.70,121.01,123.90,  1.45,"272,500"
Pakistan Refinery Ltd. ,20.22,20.01,21.19,20.00,20.56,  0.34,"427,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Abdullah Shaha Ghazi Suger Mills Ltd. ,2.89,2.85,2.95,2.85,2.95,  0.06,"6,500"
Adam Sugar Mills Limited. ,20.78,19.75,19.90,19.75,19.90,  -0.88,"1,000"
Al-Abbas Sugar Mills Ltd. ,241.73,241.99,248.90,240.00,240.00,  -1.73,"1,600"
Chashma Sugar Mills Ltd ,54.40,56.00,56.00,55.00,55.00,  0.60,"1,500"
Dewan Sugar Mills Ltd. [ DEFAULTER SEGMENT ],3.22,3.50,3.75,3.50,3.75,  0.53,"3,500"
Habib Sugar Mills Ltd. ,37.09,37.35,38.00,37.35,38.00,  0.91,"10,500"
Haseeb Waqas Sugar Mills Limit [ DEFAULTER SEGMENT ],2.80,2.31,2.99,2.31,2.80,  0.00,"7,500"
Husein Sugar Mills Limited. ,19.98,19.97,20.80,19.97,20.50,  0.52,"34,500"
